Names,Cost,Points
Annemiek Van Vleuten,26,889
Demi Vollering,22,913
Elisa Longo Borghini,18,760
Lorena Wiebes,18,460
Elisa Balsamo,16,328
Marta Cavalli,16,0
Marianne Vos,14,1035
Cecilie Uttrup Ludwig,14,576
Katarzyna Niewiadoma,12,873
Lotte Kopecky,12,539
Mavi Garcia,12,373
Ashleigh Moolman-Pasio,12,223
Marlen Reusser,12,198
Juliette Labous,10,504
Elise Chabbey,10,331
Liane Lippert,10,202
Marta Bastianelli,10,120
Emma Norsgaard,10,102
Arlenis Sierra,10,74
Chantal Van Den Broek-Blaak,10,66
Ellen Van Dijk,10,37
Kristen Faulkner,10,26
Lisa Brennauer,10,2
Coryn Labecki,10,0
Silvia Persico,8,955
Evita Muzic,8,397
Veronica Ewers,8,333
Rachele Barbieri,8,301
Maria Guilia Confalonieri,8,249
Pauliena Rooijakkers,8,223
Riejanne Markus,8,214
Vittoria Guazzini,8,193
Grace Brown,8,131
Shirin Van Anrooij,8,124
Soraya Paladin,8,95
Christine Majerus,8,81
Paula Patino,8,76
Anna Henderson,8,70
Erica Magnaldi,8,67
Simone Boilard,8,63
Alexandra Manly,8,60
Audrey Cordon-Ragot,8,46
Leah Thomas,8,41
Olivia Baril,8,26
Kristabel Doebel-Hickok,8,25
Eleonora Camilla Gasparini,8,25
Pfeiffer Georgi,8,18
Joscelin Lowden,8,16
Jeanne Korevaar,8,12
Charlotte Kool,8,12
Ally Wollaston,8,0
Gladys Verhulst,8,0
Thalita De Jong,8,0
Sabrina Stultiens,8,0
Ane Santesteban,8,0
Amanda Spratt,8,0
Maike Van Der Duin,6,277
Alena Amialiusik,6,273
Tamara Dromova,6,214
Tiffany Cromwell,6,145
Yara Kastelijn,6,129
Julie De Wilde,6,111
Ruby Roseman-Gannon,6,84
Coralie Demay,6,68
Femke Gerritse,6,63
Karlijn Swinkels,6,62
Romy Kasper,6,60
Urska Zigart,6,55
Marie Le Net,6,54
Mischa Bredewold,6,50
Sanna Cant,6,47
Ilaria Sanguineti,6,41
Sheyla Gutierrez,6,39
Aude Biannic,6,29
Nicole Frain,6,29
Marta Lach,6,25
Nina Buysman,6,25
Femke Markus,6,23
Sandra Alonso,6,20
Kathrin Hammes,6,20
Valerie Demey,6,20
Antri Christoforou,6,15
Jesse Vandenbulcke,6,12
Rachel Neylan,6,11
Silke Smulders,6,10
Christina Schweinberger,6,4
Maaike Boogaard,6,4
Eugenia Bujak,6,4
Marit Raaijmakers,6,3
Elizabeth Holden,6,2
Julia Borgstrom,6,1
Yuliia Biriukova,6,0
Anais Morichon,6,0
Kathrin Schweinberger,6,0
Letizia Borghesi,6,0
Barbara Malcotti,6,0
Marjolein Van't Geloof,6,0
Olga Zabelinskaya,6,0
Ursa Pintar,6,0
Hannah Barnes,6,0
Julie Leth,6,0
Hannah Ludwig,6,0
Mie Bjorndahl Ottestad,4,74
Noemi Rueegg,4,60
Laura Asencio,4,31
Victoire Berteau,4,29
Franziska Koch,4,28
Alice Maria Arzuffi,4,26
Margaux Vigie,4,24
Anya Louw,4,20
Emily Newsom,4,14
Pauline Allin,4,10
Martina Alzini,4,10
Anne Dorthe Ysland,4,10
Kim De Baat,4,4
Laura Suessemilch,4,4
Gaia Masetti,4,0
Lone Meertens,4,0
Ilse Pluimers,4,0
Morgane Coston,4,0
Amandine Fouquenet,4,0
Greta Richioud,4,0
Alana Castrique,4,0
Valentine Fortin,4,0
Sandra Levenez,4,0
Magdeleine Vallieres-Hill,4,0
Henrietta Christie,4,0
Lily Williams,4,0
Eva Van Agt,4,0
Quinty Schoens,4,0
Anne Van Rooijen,4,0
Caroline Baur,4,0
Hannah Buch,4,0
Rotem Gafinovitz,4,0
Petra Stiasny,4,0
Alison Avoine,4,0
Sandrine Bideau,4,0
Barbara Fonseca,4,0
Margot Pompanon,4,0
Noemie Abgrall,4,0
Severine Eraud,4,0
India Grangier,4,0
Natalie Grinczer,4,0
Frances Janse Van Rensburg,4,0
Maeva Squiban,4,0
