Names,Cost,Points
Annemiek Van Vleuten,24,1356
Marta Cavalli,18,1046
Elisa Longo Borghini,18,930
Cecilie Uttrup Ludwig,18,530
Elisa Balsamo,16,805
Marianne Vos,16,610
Mavi Garcia,14,809
Lotte Kopecky,14,508
Juliette Labous,14,493
Elise Chabbey,14,400
Kristen Faulkner,12,857
Niamh Fisher-Black,12,552
Chiara Consonni,12,362
Emma Norsgaard,12,298
Lucinda Brand,12,236
Marta Bastianelli,12,170
Leah Thomas,12,154
Christine Majerus,12,4
Silvia Persico,10,539
Erica Magnaldi,10,366
Evita Muzic,10,297
Amanda Spratt,10,288
Sofia Bertizzolo,10,220
Clara Copponi,10,212
Mikayla Harvey,10,116
Arlenis Sierra,10,116
Soraya Paladin,10,102
Silvia Zanardi,10,95
Riejanne Markus,10,80
Georgia Williams,10,32
Olivia Baril,10,0
Charlotte Kool,8,410
Georgia Baker,8,307
Emilia Fahlin,8,162
Brodie Chapman,8,132
Kristabel Doebel-Hickok,8,131
Alena Amialiusik,8,120
Paula Patino,8,109
Sarah Roy,8,77
Clara Koppenburg,8,63
Rasa Leleivyte,8,45
Martina Alzini,8,25
Leah Kirchmann,8,16
Franziska Koch,8,16
Elena Cecchini,8,16
Hannah Barnes,8,10
Thalita De Jong,8,4
Blanka Vas,8,4
Rachel Neylan,8,0
Tereza Neumanova,8,0
Lonneke Uneken,8,0
Rachele Barbieri,6,360
Gaia Realini,6,298
Anouska Koster,6,215
Jelena Eric,6,101
Karlijn Swinkels,6,99
Lauretta Hanson,6,83
Aude Biannic,6,79
Hanna Nilsson,6,69
Amalie Dideriksen,6,63
Martina Fidanza,6,61
Teniel Campbell,6,52
Petra Stiasny,6,40
Greta Marturano,6,40
Anna Trevisi,6,40
Cristina Tonetti,6,34
Nina Kessler,6,30
Romy Kasper,6,24
Amber Kraak,6,24
Giorgia Bariani,6,22
Marta Lach,6,20
Katia Ragusa,6,19
Marta Jaskulska,6,15
Amalie Lutro,6,15
Marketa Hajkova,6,12
Kathrin Hammes,6,5
Inga Cesuliene,6,0
Nadia Quagliotto,6,0
Elizabeth Castano,6,0
Yeny Lorena Colmenares,6,0
Lina Marcela Hernandez,6,0
Estefania Herrera,6,0
Letizia Borghesi,6,0
Abi Smith,6,0
Quinty Ton,6,0
Rotem Gafinovitz,6,0
Olga Zabelinskaya,6,0
Laura Tomasi,6,0
Marte Berg Edseth,6,0
Julie Leth,6,0
Hannah Ludwig,6,0
Neve Bradbury,4,286
Aileen Schweikart,4,79
Lea Lin Teutenberg,4,60
Franziska Brausse,4,49
Emanuela Zanetti,4,40
Beatrice Rossato,4,35
Alessia Vigilia,4,35
Anastasia Carbonari,4,28
Matilde Vitillo,4,25
Asia Zontone,4,24
Alice Maria Arzuffi,4,20
Megan Jastrab,4,16
Alba Teruel,4,15
Aline Seitz,4,15
Alice Palazzi,4,15
Sofia Collinelli,4,10
Jennifer Ducuara,4,10
Magdeleine Vallieres-Hill,4,10
Francesca Pisciali,4,10
Iris Monticolo,4,10
Karolina Kumiega,4,8
Francesca Baroni,4,0
Giulia Marchesini,4,0
Gemma Sernissi,4,0
Letizia Brufani,4,0
Giorgia Vettorello,4,0
Lucia Gonzalez,4,0
Eukene Larrarte,4,0
Sofia Rodriguez,4,0
Catalina Soto,4,0
Lara Vieceli,4,0
Victoire Berteau,4,0
Sandra Levenez,4,0
Olivia Onesti,4,0
Jessenia Meneses,4,0
Sara Poidevin,4,0
Noemi Lucrezia Eremita,4,0
Alice Gasparini,4,0
Caroline Baur,4,0
Isotta Barbieri,4,0
Sofia Barbieri,4,0
Maryna Ivaniuk,4,0
Viktoriia Melnychuk,4,0
Anna Potokina,4,0
Vania Canvelli,4,0
Eva Maria Gatscher,4,0
Alessia Missiaggia,4,0
Angela Oro,4,0
Beatrice Pozzobon,4,0
Wilma Olausson,4,0
