Names,Cost,Points
Demi Vollering,24,1031
Ashleigh Moolman-Pasio,24,295
Marta Cavalli,22,526
Juliette Labous,16,383
Elise Chabbey,16,354
Liane Lippert,14,479
Lucinda Brand,14,127
Pauliena Rooijakkers,12,611
Niamh Fisher-Black,12,460
Paula Patino,12,229
Amanda Spratt,12,88
Soraya Paladin,12,75
Brodie Chapman,12,4
Leah Thomas,12,0
Kristen Faulkner,10,435
Floortje Mackaij,10,340
Anna Shackley,10,183
Nadine Michaela Gill,10,109
Ane Santesteban,10,101
Alena Amialiusik,10,90
Shirin Van Anrooij,10,85
Evita Muzic,10,18
Olivia Baril,8,307
Kristabel Doebel-Hickok,8,146
Mikayla Harvey,8,64
Victorie Guilman,8,34
Jeanne Korevaar,8,10
Jelena Eric,8,5
Sheyla Gutierrez,8,5
Stine Borgli,8,4
Tatiana Guderzo,8,2
Katia Ragusa,8,0
Sarah Gigante,8,0
Tama Dromova,8,0
Olga Zabelinskaya,8,0
Veronica Ewers,6,218
Esmee Peperkamp,6,111
Urska Zigart,6,74
Morgane Coston,6,66
Spela Kern,6,42
Barbara Malcotti,6,35
Marit Raaijmakers,6,34
Kathrin Hammes,6,30
Cristina Tonetti,6,28
Greta Marturano,6,20
Georgia Williams,6,16
Clara Honsinger,6,10
Abi Smith,6,10
Giorgia Bariani,6,10
Alice Maria Arzuffi,6,9
Eugenie Duval,6,4
Federica Damiana Piergiovanni,6,4
Tereza Neumanova,6,2
Pauline Allin,6,0
Charlotte Becker,6,0
Nadia Quagliotto,6,0
Daniela Campos,6,0
Alba Teruel,6,0
Nina Buysman,6,0
Eri Yonamine,6,0
Irantzu Beloki,6,0
Marta Jaskulska,6,0
Nathalie Eklund,6,0
Alicia Gonzalez,6,0
Lourdes Oyarbide,6,0
Claire Steels,6,0
Amalie Dideriksen,6,0
Lauretta Hanson,6,0
Petra Stiasny,4,66
Mireia Benito,4,64
Yuliia Biriukova,4,56
Neve Bradbury,4,39
Prisca Savi,4,17
Lea Curinier,4,14
Margaux Vigie,4,14
Magdeleine Vallieres,4,10
Naia Amondarain,4,10
Chelsie Wei Shi Tan,4,10
Francesca Barale,4,4
Anastasia Carbonari,4,4
Elizabeth Stannard,4,4
Maaike Colje,4,1
Maryanne Hinault,4,0
Valentina Basilico,4,0
Michaela Drummond,4,0
Elisabet Escursell,4,0
Matilde Vitillo,4,0
Lucia Gonzalez,4,0
Melissa Maia,4,0
Aileen Schweikart,4,0
Carolina Upegui,4,0
Varvara Vasoi,4,0
Ziortza Isasi,4,0
Lija Laizane,4,0
Anastasia Lebedeva,4,0
Aidi Gerde Tuisk,4,0
Henrietta Christie,4,0
Iurani Blanco,4,0
Idoia Eraso,4,0
Ariana Gilabert,4,0
Sandra Gutierrez,4,0
Usoa Ostolaza,4,0
Sofia Gomes,4,0
Corinna Lechner,4,0
Caroline Baur,4,0
Ines Cantera,4,0
Alice Coutinho,4,0
Beatriz Lalaguna Palacia,4,0
Patricia Ortega,4,0
Iris Monticolo,4,0
Alessia Vigilia,4,0
Elynor Backstedt,4,0
