Names,Cost,Points
Primoz Roglic,26,1220
Joao Almeida,22,290
Adam Yates,20,384
Wout Van Aert,18,1118
Aleksandr Vlasov,18,157
David Gaudu,18,10
Simon Yates,16,762
Nairo Quintana,16,359
Max Schachmann,16,0
Brandon McNulty,14,581
Dani Martinez,14,526
Jack Haig,14,310
Ion Izagirre,14,237
Guillaume Martin,14,201
Fabio Jakobsen,14,159
Ethan Hayer,14,150
Mads Pedersen,12,640
Pierre Latour,12,475
Aurelien Paret-Peintre,12,208
Wout Poels,12,161
Steven Kruijswijk,12,149
Jasper Philipsen,12,142
Sonny Colbrelli,12,0
Sam Bennett,12,0
Felix Grossschartner,12,0
Dylan Groenewegen,12,0
Rohan Dennis,10,222
Stefan Kueng,10,215
Jasper Stuyven,10,183
Matteo Jorgenson,10,142
Bauke Mollema,10,118
Juan Sebastian Molano,10,108
Stefan Bissegger,10,62
Cees Bol,10,40
Ben O'Connor,10,28
Lucas Hamilton,10,14
Michael Storer,10,0
Matteo Trentin,10,0
Christophe Laporte,8,504
Bryan Coquard,8,259
Biniam Girmay,8,245
Franck Bonnamour,8,224
Valentin Madouas,8,218
Soren Kragh Andersen,8,199
Anthony Turgis,8,188
Ivan Garcia Cortina,8,161
Fred Wright,8,150
Harm Vanhoucke,8,146
Florian Senechal,8,114
Mike Teunissen,8,100
Mauri Vansevenant,8,95
Luca Mozzato,8,94
Dylan Van Baarle,8,82
Zdenek Stybar,8,58
Danny Van Poppel,8,55
Niccolo Bonifazio,8,51
David De La Cruz,8,43
Nick Schultz,8,24
Samuele Battistella,8,23
Philippe Gilbert,8,23
Clement Champoussin,8,21
John Degenkolb,8,15
Markus Hoelgaard,8,12
Jan Polanc,8,12
Simon Carr,8,10
Gorka Izagirre,8,7
Yves Lampaert,8,6
Connor Swift,8,5
Max Walscheid,8,4
Jay Vine,8,0
Gino Maeder,8,0
Neilson Powless,8,0
Dmitri Claeys,8,0
Rein Taaramae,8,0
Mathieu Burgaudeau,6,217
Luka Mezgec,6,174
Quentin Pacher,6,152
Andreas Leknessund,6,122
Matthew Holmes,6,79
Dorian Godon,6,58
Oliver Naesen,6,58
Omar Fraile,6,45
Georg Zimmermann,6,45
Andrey Amador,6,40
Michael Morkov,6,38
Thomas De Gendt,6,37
Amaury Capiot,6,36
Julius Van Den Berg,6,31
Stan Dewulf,6,30
Alexis Vuillermoz,6,26
Kevin Geniets,6,25
Campbell Stewart,6,24
Aime De Gendt,6,21
Ruben Fernandez,6,17
Nils Eekhoff,6,17
Luis Leon Sanchez,6,15
Gregor Muehlberger,6,14
Sebastien Grignard,6,11
Jordi Warlop,6,4
Simon Geschke,6,4
Luke Durbridge,6,4
Jonas Rickaert,6,0
Kristian Sbaragli,6,0
Stefan De Bod,6,0
Nils Politt,6,0
Baptiste Planckaert,6,0
Carl Fredrik Hagen,6,0
James Piccoli,6,0
Tom Van Asbroeck,6,0
Mads Wuertz Schmidt,6,0
Matis Louvel,6,0
Hugo Houle,4,122
Nathan Van Hooydonck,4,114
Owain Doull,4,95
Laurent Pichon,4,92
Alexis Gougeard,4,80
Steff Cras,4,75
Alex Kirsch,4,61
Finn Fisher-Black,4,58
Victor Koretzky,4,44
Fabien Doubey,4,43
Yevgeniy Fedorov,4,42
Damien Touze,4,37
Julien Bernard,4,36
Fabio Felline,4,20
Luke Rowe,4,20
Johan Jacobs,4,16
Nico Denz,4,16
Otto Vergaerde,4,16
Ryan Mullen,4,12
Albert Torres,4,12
Alexys Brunel,4,12
Olivier Le Gac,4,10
Geoffrey Soupe,4,10
Frederik Frison,4,8
Iljo Keisse,4,6
Jeremy Lecroq,4,4
Cyril Lemoine,4,4
Tom Bohli,4,4
Imanol Erviti,4,2
Tobias Bayer,4,0
Silvan Dillier,4,0
Senne Leysen,4,0
Dmitriy Gruzdev,4,0
Yuriy Natarov,4,0
Domen Novak,4,0
Jens Keukeleire,4,0
Lukasz Wisniowski,4,0
Loic Vliegen,4,0
Rudy Barbier,4,0
Guillaume Boivin,4,0
Nicolas Edet,4,0
Simon Guglielmi,4,0
Kevin Vermaerke,4,0
