Names,Cost,Points
Mauricio Moreira,22,1841
Rafael Reis,20,483
Frederico Figueiredo,16,1258
Alejandro Manuel Marque,16,655
Antonio Carvalho,14,1355
Delio Fernandez,14,606
Luis Gomes,14,483
Luis Fernandes,12,715
Andre Cardoso,12,502
Henrique Casimiro,12,488
Tiago Antunes,12,193
Tiago Machado,12,94
Vincente Garcia de Mateos,12,90
Kyle Murphy,12,20
Juan Jose Lobato,10,173
Bruno Silva,10,84
Cesar Fonte,10,31
Carlos Ivan Oyarzun,10,27
Pelayo Sanchez,10,15
Jhojan Garcia,10,2
Joaquim Silva,8,284
Javier Moreno,8,248
Hugo Nunes,8,203
Alexander Grigoryev,8,200
Goncalo Leaca,8,188
Alex Molenaar,8,160
Unai Cuadrado,8,147
Helder Goncalves,8,131
Goncalo Carvalho,8,109
Rafael Silva,8,94
Xavier Canellas,8,72
Robin Carpenter,8,56
Juan Antonio Lopez-Cozar,8,46
Pablo Alonso,8,40
Keegan Swirbul,8,32
Gaspar Goncalves,8,22
Adria Moreno,8,11
Charles-Etienne Chretien,8,5
Tomas Contte,8,0
Nuno Meireles,8,0
Gage Hecht,8,0
Adrian Bustamante,8,0
Joao Matias,6,743
Txomin Juaristi,6,441
Oliver Rees,6,400
Jesus Del Pino,6,382
Emanuel Duarte,6,299
Jokin Murguialday,6,293
Joey Rosskopf,6,278
Cesar Martingil,6,267
Antonio Barbio,6,254
Angel Sanchez,6,213
Afonso Eulalio,6,210
Victor Langellotti,6,168
Yesid Albeiro Pira,6,130
Rafael Lourenco,6,113
Max Walker,6,100
Alberto Gallego,6,86
Alvaro Trueba,6,68
Guillermo Garcia,6,49
Vicente Hernaiz,6,49
David Livramento,6,48
Oscar Pelegri,6,46
Mateu Estelrich,6,45
Jose Mendes,6,44
Joao Macedo,6,41
Andre Ramalho,6,34
Marcio Barbosa,6,32
Jonathan Clarke,6,32
Joseba Lopez,6,27
Unai Iribar,6,27
Rui Emanuel Rodrigues,6,25
Fabio Marcelo Pinto Oliveira,6,24
Ulises Alfredo Castillo,6,22
Cormac McGeough,6,22
Kent Ross,6,22
Rui Carvalho,6,21
Afonso Silva,6,16
Mario Aparicio,6,14
Pedro Andrade,6,12
Siebe Roesems,6,12
Carter Turnbull,6,12
Noah Granigan,6,10
Francisco Guerreiro,6,8
Micael Isidoro,6,2
Adam De Vos,6,2
Igor Silva,6,0
Heberth Alejandro Gutierrez,6,0
Marcos Jurado,6,0
Nikiforos Arvanitou,6,0
Roberto Carlos Gonzalez,6,0
Scott McGill,4,837
Fabio Costa,4,394
Thomas Armstrong,4,350
Asier Etxeberria,4,238
Barry Miller,4,211
Venceslau Fernandes,4,165
Andoni Lopez,4,131
Calum Johnston,4,122
Juan Esteban Guerrero,4,110
Joao Medeiros,4,77
Xabier Isasa,4,62
Fergus Browning,4,45
Jose Maria Garcia,4,43
Peio Goikoetxea,4,34
Edwin Torres,4,31
Jose Sousa,4,31
Goncalo Amado,4,26
Victor Manakov,4,12
Camilo Andres Gomez,4,12
Lukas Nerurkar,4,12
Ivo Pinheiro,4,10
Eric Antonio Fagundez,4,10
Jose Bruzual,4,10
Francisco Marques,4,10
Rodrigo Caixas,4,9
Antonio Manuel Sousa Ferreira,4,6
Ruben Simao,4,4
Jose Cruz,4,0
Inigo Gonzalez,4,0
Mikel Mujika,4,0
Mauro Rato,4,0
Juan Fernando Calle,4,0
Alessio Gasparini,4,0
Yuki Ishihara,4,0
