Names,Cost,Points
Lorena Wiebes,24,935
Elisa Balsamo,24,608
Lotte Kopecky,20,578
Marta Bastianelli,20,377
Emma Norsgaard,18,564
Marlen Reusser,18,115
Katarzyna Niewiadoma,18,88
Chantal Van Den Broek-Blaak,16,32
Clara Copponi,16,10
Chiara Consonni,14,506
Coryn Labecki,14,181
Christine Majerus,14,41
Sofia Bertizzolo,14,4
Anna Henderson,12,203
Alison Jackson,12,137
Veronica Ewers,12,114
Ally Wollaston,12,45
Charlotte Kool,12,42
Alice Barnes,12,39
Pfeiffer Georgi,12,36
Chloe Hosking,12,20
Lisa Klein,12,4
Silvia Persico,10,432
Kristabel Doebel-Hickok,10,51
Ilaria Sanguineti,10,48
Leah Kirchmann,10,36
Sarah Roy,10,34
Elena Cecchini,10,32
Audrey Cordon-Ragot,10,20
Amber Van Der Hulst,10,19
Brodie Chapman,10,10
Emilia Fahlin,10,10
Marjolein Van't Geloof,10,0
Eleonora Camilla Gasparrini,8,80
Maike Van Der Duin,8,40
Franziska Koch,8,36
Lonneke Uneken,8,32
Jeanne Korevaar,8,29
Sandra Alonso,8,25
Barbara Guarischi,8,10
Sheyla Gutierrez,8,10
Aude Biannic,8,4
Susanne Andersen,8,3
Martina Fidanza,8,0
Kathrin Schweinberger,8,0
Coralie Demay,8,0
Hannah Barnes,8,0
Julia Borgstrom,6,247
Jesse Vandenbulcke,6,243
Rachele Barbieri,6,218
Simone Boilard,6,199
Vittoria Guazzini,6,179
Letizia Borghesi,6,171
Quinty Ton,6,160
Shari Bossuyt,6,81
Lara Vieceli,6,73
Karolina Kumiega,6,50
Amber Kraak,6,42
Maelle Grossetete,6,40
Mie Bjorndahl Ottestad,6,35
Ilse Pluimers,6,30
Maud Rijnbeek,6,20
Amalie Dideriksen,6,20
Lauretta Hanson,6,20
Jade Wiel,6,15
Alicia Gonzalez,6,10
Mylene De Zoete,6,5
Neve Bradbury,6,4
Maaike Boogard,6,4
Anna Trevisi,6,4
Georgia Danford,6,0
Zsofia Szabo,6,0
Maddie Wadsworth,6,0
Tanja Erath,6,0
Omer Shapira,6,0
Sara Van De Vel,6,0
Barbara Fonseca,6,0
Elodie Le Bail,6,0
Jessica Roberts,6,0
Nicole Steigenga,6,0
Teuntje Beekhuis,6,0
Noemi Ruegg,6,0
Aafke Soet,6,0
Amalie Lutro,6,0
Alice Sharpe,4,96
Anastasia Carbonari,4,68
Megan Jastrab,4,36
Josie Nelson,4,35
Elynor Backstedt,4,20
Gaia Masetti,4,5
Sophie Wright,4,4
Linda Zanetti,4,4
Michelle Andres,4,0
Fabienne Buri,4,0
Kerry Jonker,4,0
Lena Mettraux,4,0
Georgia Bullard,4,0
Connie Hayes,4,0
Phoebe Martin,4,0
Emily Meakin,4,0
Francesca Morgans-Slader,4,0
Lana Eberle,4,0
Megan Armitage,4,0
Mia Griffin,4,0
Antonia Grondahl,4,0
Georgia Whitehouse,4,0
April Tacey,4,0
Perrine Clauzel,4,0
Margot Pompanon,4,0
Pernille Feldmann,4,0
Sylvie Swinkels,4,0
Nora Tveit,4,0
Anniina Ahtosalo,4,0
Rebecca Koerner,4,0
