Names,Cost,Points
Aleksandr Vlasov,18,936
Damiano Caruso,18,422
Geraint Thomas,18,219
Sergio Higuita,16,226
Mike Woods,16,161
Ion Izagirre,16,58
Rohan Dennis,14,708
Ben O'Connor,14,457
Thibaut Pinot,14,264
Sepp Kuss,14,212
Brandon McNulty,14,69
Rigoberto Uran,14,0
Ethan Hayter,12,530
Felix Grossschartner,12,294
Dylan Teuns,12,266
Max Schachmann,12,107
Patrick Konrad,12,27
Jakob Fuglsang,12,25
Mattia Cattaneo,12,2
Michael Storer,12,0
Juan Ayuso,10,513
Gino Maeder,10,445
Steven Kruijswijk,10,336
Einer Rubio,10,220
Marc Hirschi,10,209
Fernando Gaviria,10,120
Remi Cavagna,10,28
Gianluca Brambilla,10,28
Luke Plapp,8,182
Sebastien Reichenbach,8,166
Neilson Powless,8,136
Mikkel Honore,8,125
James Knox,8,114
Dion Smith,8,90
Matteo Sobrero,8,70
Ethan Vernon,8,62
Rein Taaramae,8,60
Kenny Elissonde,8,53
Jan Polanc,8,43
Andreas Leknessund,8,29
Luis Leon Sanchez,8,28
Abner Gonzalez,8,20
Harm Vanhoucke,8,19
Chris Froome,8,10
Antwan Tolhoek,8,8
Geoffrey Bouchard,8,0
Louis Meintjes,8,0
Simon Geschke,6,372
Quinten Hermans,6,309
Paddy Bevin,6,257
Toms Skujins,6,198
Steff Cras,6,186
Mauro Schmid,6,159
Sean Quinn,6,154
Carlos Verona,6,148
Jon Aberasturi,6,124
Nikias Arndt,6,110
Finn Fisher-Black,6,103
Oscar Rodriguez,6,80
Robert Gesink,6,67
Gijs Leemreize,6,64
Timo Roosen,6,64
Rudy Molard,6,55
Harold Tejada,6,51
Georg Steinhauser,6,50
Magnus Sheffield,6,31
Andrey Amador,6,30
Hermann Pernsteiner,6,28
Johan Price-Pejtersen,6,28
Stephen Williams,6,28
Julien Bernard,6,28
Laurens De Plus,6,26
Matteo Badilatti,6,21
Quentin Pacher,6,21
Ruben Fernandez,6,17
Nans Peters,6,16
Baptiste Planckaert,6,12
Johan Jacobs,6,10
Yannis Voisard,6,10
Antonio Tiberi,6,8
Davide Villella,6,5
Josef Cerny,6,2
Bob Jungels,6,0
Lawrence Naesen,6,0
Valerio Conti,6,0
Stefan De Bod,6,0
Urko Berrade,6,0
Jose Felix Parra,6,0
Matthew Holmes,6,0
Harry Sweeny,6,0
Kevin Colleoni,6,0
Amund Grondahl Jansen,6,0
Jan Maas,6,0
Romain Combaud,6,0
Casper Pedersen,6,0
Martijn Tusveld,6,0
Krists Neilands,4,95
Nils Brun,4,80
Michel Hessmann,4,66
Thomas Champion,4,63
Filippo Colombo,4,41
Antoine Debons,4,38
Ivo Oliveira,4,38
Valere Thiebaud,4,28
Anton Palzer,4,27
Frederik Wandahl,4,27
Gregor Muehlberger,4,24
Anthony Roux,4,21
Brandon Rivera,4,21
Diego Lopez,4,15
Julius Johansen,4,15
Sebastien Grignard,4,15
Marco Brenner,4,12
Raul Garcia Pierna,4,10
Alexander Cataford,4,10
Corbin Strong,4,10
Tim Naberman,4,10
Valentin Paret-Peintre,4,0
Michael Schaer,4,0
Dmitriy Gruzdev,4,0
Antonio Nibali,4,0
Alexandr Riabushenko,4,0
Andrey Zeits,4,0
Sander Armee,4,0
Tom Bohli,4,0
Ben Healy,4,0
Francisco Galvan,4,0
Carlos Garcia Pierna,4,0
Pau Miquel,4,0
Theo Delacroix,4,0
Laurens Huys,4,0
Viktor Verschaeve,4,0
Lluis Mas,4,0
Sam Bewley,4,0
Tsgabu Grmay,4,0
Mathias Flueckiger,4,0
Dario Lillo,4,0
