Names,Cost,Points
Marianne Vos,24,1006
Demi Vollering,24,45
Cecilie Uttrup Ludwig,20,741
Alexandra Manly,14,798
Liane Lippert,14,489
Floortje Mackaij,14,354
Sofia Bertizzolo,14,352
Lucinda Brand,12,388
Alison Jackson,12,283
Niamh Fisher-Black,12,6
Barbara Guarischi,10,262
Katrine Aalerud,10,169
Erica Magnaldi,10,165
Chloe Hosking,10,120
Alice Barnes,10,116
Yara Kastelijn,10,69
Susanne Andersen,10,67
Sarah Roy,10,46
Sina Frei,10,34
Elena Cecchini,10,24
Brodie Chapman,10,18
Anna Shackley,10,6
Audrey Cordon-Ragot,10,0
Shari Bossuyt,8,615
Tamara Dronova,8,500
Emilia Fahlin,8,268
Neve Bradbury,8,227
Gladys Verhulst,8,204
Ruby Roseman-Gannon,8,119
Eugenia Bujak,8,114
Georgia Williams,8,90
Blanka Vas,8,84
Leah Kirchmann,8,77
Stine Borgli,8,66
Katia Ragusa,8,50
Jeanne Korevaar,8,45
Mischa Bredewold,8,45
Nicole Steigenga,8,41
Femke Markus,8,38
Tereza Neumanova,8,32
Mikayla Harvey,8,18
Maaike Boogaard,8,14
Sarah Gigante,8,6
Valerie Demey,8,0
Joscelin Lowden,8,0
Anouska Koster,6,447
Julie Van De Velde,6,308
Esmee Peperkamp,6,250
Amber Kraak,6,174
Linda Riedmann,6,167
Amalie Dideriksen,6,139
Nina Kessler,6,138
Femke Gerritse,6,137
Lara Tomasi,6,123
Marthe Truyen,6,93
Margaux Vigie,6,93
Eugenie Duval,6,68
Federica Damiana Piergiovanni,6,45
Jade Wiel,6,41
Julia Borgstroem,6,30
Arianna Fidanza,6,30
Lourdes Oyarbide,6,29
Elena Pirrone,6,25
Ingvild Gaaskjenn,6,22
Ella Harris,6,16
Maud Rijnbeek,6,12
Sara Martin,6,4
Gloria Rodriguez,6,4
Elynor Backstedt,6,4
Lauretta Hanson,6,4
Marita Jensen,6,0
Marta Jaskulska,6,0
Malin Eriksen,6,0
Lieke Nooijen,6,0
Kirstie Van Haaften,6,0
Mari Hole Mohr,6,0
Marte Berg Edseth,6,0
Wilma Olausson,6,0
Mie Bjorndahl Ottestad,6,0
Anne Dorthe Ysland,6,0
Megan Jastrab,4,397
Josie Nelson,4,179
Karolina Kumiega,4,106
Eva Van Agt,4,101
Eline Van Rooijen,4,91
Lea Curinier,4,72
Jessica Allen,4,50
Carlijn Achtereekte,4,50
Anastasia Carbonari,4,48
Justine Ghekiere,4,26
Sophie Wright,4,24
Marion Norbert Riberolle,4,21
Annemarie Worst,4,21
April Tacey,4,20
Sylvie Swinkels,4,10
Elizabeth Stannard,4,10
Eluned King,4,1
Amber Aernouts,4,0
Maureen Arens,4,0
Britt Knaven,4,0
Maja Winther Brandt,4,0
Trine Holmsgaard,4,0
Josefine Huitfeldt,4,0
Marie-Louise Krogager,4,0
Mia Sofie Rutzou,4,0
Flora Perkins,4,0
Alice Towers,4,0
Martine Gjos,4,0
Sigrid Ytterhus Haugset,4,0
Magdalene Lind,4,0
Elise Marie Olsen,4,0
Emelie Utvik,4,0
Rosalie Van Der Wolf,4,0
Hannah Buch,4,0
Caroline Chauveau,4,0
Lea Stern,4,0
Anna Traxler,4,0
Caroline Andersson,4,0
