Names,Cost,Points
Remco Evenepoel,22,368
Aleksandr Vlasov,22,285
Dani Martinez,20,293
Adam Yates,18,79
Sergio Higuita,16,700
Thibaut Pinot,16,419
Geraint Thomas,14,890
Ion Izagirre,14,56
Gino Maeder,14,30
Hugh Carthy,14,9
Max Schachmann,12,542
Marc Hirschi,12,166
Sepp Kuss,12,95
Rigoberto Uran,12,31
Jakob Fuglsang,10,563
Felix Grossschartner,10,521
Michael Matthews,10,488
Domenico Pozzovivo,10,297
Alexey Lutsenko,10,287
Fausto Masnada,10,251
Tom Pidcock,10,193
Diego Ulissi,10,100
Benoit Cosnefroy,10,25
Thymen Arensman,10,10
Rohan Dennis,10,0
Marc Soler,10,0
Andreas Leknessund,8,516
Neilson Powless,8,449
Quinn Simmons,8,420
Andreas Kron,8,342
Sebastien Reichenbach,8,265
Clement Champoussin,8,226
Alex Aranburu,8,169
Peter Sagan,8,155
Matteo Trentin,8,150
Soren Kragh Andersen,8,108
Nikias Arndt,8,91
Cees Bol,8,68
Gianluca Brambilla,8,50
James Knox,8,13
Jay Vine,8,10
Dion Smith,8,6
Sam Oomen,8,2
Gonzalo Serrano,8,0
Rui Costa,8,0
Alessandro Covi,8,0
Stefan Kueng,6,628
Bob Jungels,6,319
Stephen Williams,6,274
Alberto Bettiol,6,247
Oscar Rodriguez,6,182
Daryl Impey,6,172
Mathieu Burgaudeau,6,161
Jose Herrada,6,156
Hugo Houle,6,147
Ilan Van Wilder,6,130
Bryan Coquard,6,122
Andrea Pasqualon,6,114
Nicolas Prodhomme,6,105
Alexander Kristoff,6,100
Quentin Pacher,6,90
Matthew Holmes,6,81
Edoardo Zambanini,6,80
Antonio Pedrero,6,75
Dylan Van Baarle,6,73
Philippe Gilbert,6,61
Matteo Badilatti,6,56
Nelson Oliveira,6,53
Mike Teunissen,6,40
Sylvain Moniquet,6,31
Stefano Oldani,6,30
Hermann Pernsteiner,6,30
Omar Fraile,6,28
Casper Pedersen,6,25
Brent Van Moer,6,24
Alexander Kamp,6,23
Kasper Asgreen,6,22
Remy Rochas,6,21
Michael Gogl,6,20
Stefan Bissegger,6,20
Patrick Bevin,6,20
Pascal Eenkhoorn,6,20
Markus Hoelgaard,6,17
Anthony Turgis,6,16
Thomas De Gendt,6,14
Tim Declercq,6,13
Sebastian Berwick,6,12
Manuele Boaro,6,11
Larry Warbasse,6,8
Louis Vervaeke,6,8
Jack Bauer,6,6
Damien Howson,6,6
Maciej Bodnar,6,6
Lorenzo Manzin,6,6
Gianni Moscon,6,5
Davide Villella,6,4
Albert Torres,6,4
Simone Petilli,6,2
Baptiste Planckaert,6,2
Georg Zimmermann,6,2
Jan Maas,6,2
Xandro Meurisse,6,0
Kristian Aasvold,6,0
Robert Gesink,6,0
Yannis Voisard,6,0
Dario Cataldo,6,0
Simon Pellaud,6,0
Nico Denz,4,251
Clement Berthet,4,148
Roland Thalmann,4,113
Lewis Askey,4,74
Marco Haller,4,62
Anton Palzer,4,54
Antoine Duchesne,4,46
Daniel Oss,4,46
Simon Vitzthum,4,40
Chad Haga,4,36
Michael Schaer,4,35
Johan Jacobs,4,32
Silvan Dillier,4,31
Yukiya Arashiro,4,30
Filip Maciejuk,4,30
Frederik Wandahl,4,30
Luke Rowe,4,30
Mathias Reutimann,4,25
Johan Price-Pejtersen,4,24
Jonas Rutsch,4,24
Krists Neilands,4,20
Claudio Imhof,4,20
Jimmy Janssens,4,17
Reto Hollenstein,4,12
Joel Suter,4,12
Leonardo Basso,4,10
Gavin Mannion,4,10
Joey Rosskopf,4,10
Kamil Malecki,4,10
Lukas Ruegg,4,10
Tom Scully,4,8
Sander Armee,4,6
Tom Bohli,4,6
Cameron Meyer,4,6
Paul Ourselin,4,6
Dmitriy Gruzdev,4,2
Antonio Nibali,4,2
Adrien Petit,4,2
Sjoerd Bax,4,0
Yevgeniy Fedorov,4,0
Kyle Murphy,4,0
Keegan Swirbul,4,0
Timo Roosen,4,0
Robin Froidevaux,4,0
Otto Vergaerde,4,0
