Names,Cost,Points
Tadej Pogacar,28,1174
Remco Evenepoel,22,559
Jonas Vingegaard,20,737
Richard Carapaz,18,41
Julian Alaphilippe,18,40
Caleb Ewan,16,157
Enric Mas,16,139
Miguel Angel Lopez,16,131
Mikel Landa,14,483
Richie Porte,14,462
Pello Bilbao,14,270
Romain Bardet,14,155
Peter Sagan,14,90
Mark Cavendish,14,28
Sepp Kuss,14,24
Thibaut Pinot,12,227
Giacomo Nizzolo,12,180
Pascal Ackermann,12,171
Arnaud Demare,12,167
Tao Geoghegan Hart,12,162
Wilco Kelderman,12,151
Jakob Fuglsang,12,4
Michael Matthews,12,4
Damiano Caruso,10,353
Olav Kooij,10,341
Tim Merlier,10,314
Filippo Ganna,10,298
Warren Barguil,10,261
Giulio Ciccone,10,255
Marc Soler,10,199
Domenico Pozzovivo,10,158
Rigoberto Uran,10,114
Davide Formolo,10,76
Elia Viviani,10,72
Alex Aranburu,10,40
Emanuel Buchman,10,31
Benoit Cosnefroy,10,12
Tim Wellens,10,6
Ruben Guerreiro,10,0
Mark Padun,10,0
Phil Bauhaus,8,380
Jai Hindley,8,356
Kaden Groves,8,221
Victor Lafay,8,187
Kasper Asgreen,8,186
Quinn Simmons,8,164
Simone Consonni,8,132
Davide Ballerini,8,122
Nelson Oliviera,8,119
Rafal Majka,8,106
Davide Cimolai,8,97
Nacer Bouhanni,8,90
Alberto Dainese,8,87
Alexander Kristoff,8,80
Matteo Sobrero,8,74
Lorenzo Fortunato,8,65
Matteo Moschetti,8,60
Mikkel Honore,8,45
Geoffrey Bouchard,8,40
Jhonatan Narvaez,8,32
Andrea Vendrame,8,30
Lorenzo Rota,8,30
Tosh Van Der Sande,8,22
Matteo Fabbro,8,21
Jordi Meeus,8,21
Filippo Fiorelli,8,10
Andrea Pasqualon,8,10
Taco Van Der Horn,8,10
Einer Rubio,8,10
Gianluca Brambilla,8,10
Dan McLay,8,6
Matthias Braendle,8,4
Daryl Impey,8,4
Gianni Moscon,8,2
Jefferson Alexander Cepeda,8,2
Greg Van Avermaet,8,0
Sacha Modolo,8,0
Magnus Cort,8,0
Thymen Arensman,6,355
Xandro Meurisse,6,166
Alex Dowsett,6,136
Mikkel Bjerg,6,128
Simone Velasco,6,121
Jos Van Emden,6,109
Benjamin Thomas,6,108
Tobias Ludvigsson,6,107
Cristian Rodriguez,6,82
Maxi Richeze,6,76
Heinrich Haussler,6,62
Jan Tratnik,6,62
Francesco Gavazzi,6,62
Edvald Boasson Hagen,6,60
Vincenzo Albanese,6,55
Jacopo Guarnieri,6,44
Ben Swift,6,42
Edoardo Affini,6,40
Bob Jungels,6,36
Josef Cerny,6,33
Marco Haller,6,32
Clement Russo,6,31
Jhonatan Restrepo,6,27
Koen Bouwman,6,26
Manuele Boaro,6,24
Diego Rosa,6,23
Alessandro Tonelli,6,22
Davide Villella,6,22
Eduardo Sepulveda,6,20
Thibault Guernalec,6,20
Julien Simon,6,20
Lilian Calmejane,6,15
Chris Hamilton,6,15
Michael Gogl,6,10
Stefano Oldani,6,10
Robert Stannard,6,10
Gianni Vermeersch,6,10
Jonathan Caicedo,6,10
Valentin Ferron,6,10
Anthony Perez,6,7
Maxim Van Gils,6,6
Alan Riou,6,6
Giovanni Lonardi,6,5
Krists Neilands,6,4
Rick Zabel,6,4
Harold Tejada,6,2
Nikias Arndt,6,2
Martijn Tusveld,6,2
Michael Schaer,6,0
Giovanni Visconti,6,0
Natnael Tesfatsion,6,0
Michael Valgren,6,0
Sven Erik Bystrom,6,0
Adrien Petit,6,0
Maciej Bodnar,6,0
Dario Cataldo,6,0
Toms Skujins,6,0
Edward Theuns,6,0
Davide Bais,4,114
Jasha Suetterlin,4,72
Lawson Craddock,4,58
Cesare Benedetti,4,21
Luca Rastelli,4,20
Lluis Mas,4,20
Davide Gabburo,4,18
Jorge Arcas,4,16
Umberto Marengo,4,15
Mirco Maestri,4,15
Tsgabu Grmay,4,14
Alexander Konychev,4,14
Edoardo Zardini,4,11
Edward Planckaert,4,10
Johnatan Canaveral,4,10
Mattia Bais,4,10
Roger Kluge,4,6
Michael Scwarzmann,4,6
Ruediger Selig,4,6
Harry Sweeny,4,6
Maxime Bouet,4,6
Antoine Duchesne,4,4
Ignatas konovalovas,4,4
Ramon Sinkeldam,4,4
Alex Edmonson,4,4
Leonardo Basso,4,2
Davide Martinelli,4,2
Joris Nieuwenhuis,4,2
Tom Scully,4,0
Mathias Norsgaard,4,0
Daniel Oss,4,0
