Names,Cost,Points
Elisa Longo Borghini,18,941
Katarzyna Niewiadoma,18,676
Ashleigh Moolman-Pasio,18,415
Lorena Wiebes,16,644
Marlen Reusser,16,10
Grace Brown,14,699
Alexandra Manly,14,584
Elise Chabbey,14,568
Clara Copponi,14,546
Chantal Van Den Broek-Blaak,14,10
Christine Majerus,12,263
Alice Barnes,12,173
Alison Jackson,12,66
Pfeiffer Georgi,12,36
Sofia Bertizzolo,10,409
Kristen Faulkner,10,375
Maria Giulia Confalonieri,10,312
Veronica Ewers,10,296
Coryn Labecki,10,217
Ellen Van Dijk,10,103
Chloe Hosking,10,62
Sheyla Gutierrez,10,54
Mikayla Harvey,8,240
Elena Cecchini,8,233
Riejanne Markus,8,212
Letizia Borghesi,8,116
Joscelin Lowden,8,106
Marjolein Van't Geloof,8,104
Charlotte Kool,8,96
Tiffany Cromwell,8,94
Emilia Fahlin,8,73
Kristabel Doebel-Hickok,8,71
Audrey Cordon-Ragot,8,67
Gladys Verhulst,8,61
Franziska Koch,8,37
Leah Kirchmann,8,26
Roxane Fournier,8,20
Jesse Vandenbulcke,8,16
Thalita De Jong,8,10
Mieke Kroeger,8,5
Shari Bossuyt,6,352
Ingvild Gaskjenn,6,283
Arianna Fidanza,6,271
Barbara Guarischi,6,254
Eugenie Duval,6,229
Maike Van Der Duin,6,174
Tereza Neumanova,6,167
Marta Lach,6,154
Georgia Williams,6,131
Becky Storrie,6,127
Quinty Ton,6,121
Nina Buysman,6,112
Maelle Grossetete,6,79
Lauretta Hanson,6,64
Elizabeth Holden,6,51
Maaikke Boogaard,6,50
Marie Le Net,6,38
Teniel Campbell,6,38
Nina Kessler,6,38
Laura Tomasi,6,38
Romy Kasper,6,37
Kathrin Schweinberger,6,19
Marit Raaijmakers,6,15
Teuntje Beekhuis,6,12
Sammie Stuart,6,10
Anna Trevisi,6,8
Sara Martin,6,4
Lourdes Oyarbide,6,4
Abi Smith,6,3
Karlijn Swinkels,6,2
Omer Shapira,6,0
Eva Buurman,6,0
Jessica Roberts,6,0
Julie Leth,6,0
Hannah Ludwig,6,0
Laura Asencio,4,69
Tiril Jorgensen,4,64
Anne Dorthe Ysland,4,64
Elynor Backstedt,4,36
Megan Jastrab,4,31
Lily Williams,4,30
Mie Bjorndahl Ottestad,4,21
Alessia Patuelli,4,14
Sophie Wright,4,12
Danielle Shrosbree,4,10
Henrietta Christie,4,10
Ane Iversen,4,10
April Tacey,4,6
Alicia Gonzalez,4,4
Gloria Rodriguez,4,4
Sophie Lewis,4,0
Beth Morrow,4,0
Katie Scott,4,0
Franziska Brausse,4,0
Tanja Erath,4,0
Evy Kuijpers,4,0
Mari Hole Mohr,4,0
