Names,Cost,Points
Michael Matthews,24,150
Sep Vanmarcke,22,9
Jasper Philipsen,18,60
Luka Mezgec,16,135
Florian Senechal,16,120
Ivan Garcia Cortina,16,79
Andrea Vendrame,16,48
Michael Albasini,16,15
Alvaro Hodeg,16,7
Andrea Pasqualon,14,39
Ruben Guereiro,14,6
Kristian Sbaragli,12,33
Sergio Henao,12,15
Aime De Gendt,10,105
Eduard-Michael Grosu,10,57
Remi Cavagna,10,37
Nathan Haas,8,36
Jan Bakelants,8,33
Dion Smith,8,15
Dan McLay,6,72
Anthony Roux,6,68
Gianni Vermeersch,6,54
Samuele Battistella,6,45
Scott Thwaites,6,39
Jasha Suetterlin,6,20
Floris De Tier,6,15
Alexander Cataford,6,15
Dorian Godon,6,15
Zhandos Bizhigitov,6,15
Delio Fernandez,6,15
Nick Schultz,6,15
Robert Stannard,6,15
Joey Rosskopf,6,15
Dimitri Claeys,6,15
Jenthe Biermans,6,12
Iljo Keisse,6,7
Stijn Steels,6,7
Jannik Steimle,6,7
Bert Van Lerberghe,6,7
Yukiya Arashiro,6,3
Nils Eekhoff,4,96
Alessandro Fedeli,4,90
Quinn Simmons,4,82
Alex Kirsch,4,51
Emmanuel Morin,4,42
Luca Mozzato,4,30
Simon Guglielmi,4,27
Franck Bonnamour,4,21
Ilan Van Wilder,4,20
Nico Denx,4,20
Felix Gall,4,20
Max Kanter,4,20
Will Clarke,4,15
Romain Seigle,4,15
Maxime Cam,4,15
Tsgabu Grmay,4,15
Julien Morice,4,15
Callum Scotson,4,15
