Names,Cost,Points
Pascal Ackermann,22,55
Jasper Philipsen,18,70
Danny Van Poppel,16,40
Florian Senechal,16,10
Nacer Bouhanni,14,80
Baptiste Planckaert,14,28
Dries De Bondt,14,15
Amaury Copiot,12,46
Tim Merlier,10,100
Davide Ballerini,10,90
Lionel Taminiaux,10,18
Aime De Gendt,10,10
Loic Vliegen,10,10
Arvid De Kleijn,8,34
Christophe Noppe,8,16
Lawrence Naesen,6,52
Edward Planckaert,6,43
Dan McLay,6,40
Mikkel Frolich Honore,6,40
Fabian Lienhard,6,38
Julien Vermote,6,32
Nick Van Der Lijke,6,22
Dries Van Gestel,6,20
Piet Allegaert,6,16
Jonas Rickaert,6,15
Oscar Riesebeek,6,15
Scott Thwaites,6,15
Jasha Suetterlin,6,10
Julien Duval,6,10
Pieter Serry,6,10
Jannik Steimle,6,10
Jelle Wallays,6,2
Florian Vermeersch,4,70
Romain Seigle,4,49
Emmanuel Morin,4,26
Romain Cardis,4,24
Alexander Richardson,4,15
Otto Vergaerde,4,15
Donavan Grondin,4,14
Ilan Van Wilder,4,10
Cedric Beullens,4,10
Mauri Vansevenant,4,10
Kenneth Van Rooy,4,6
Franck Bonnamour,4,4
Alan Riou,4,4
Manuel Penalver,4,4
