Names,Cost,Points
Giovanni Visconti,16,26
Michael Albasini,16,15
Andrea Pasqualon,14,90
Nacer Bouhanni,14,24
Timothy Dupont,14,10
Enrico Battaglin,10,52
Odd Christian Eiking,10,38
James Piccoli,10,4
Dion Smith,8,100
Alexandr Riabushenko,8,80
Carlos Barbero,8,43
Marco Tizza,8,36
Lorenzo Rota,8,8
Jacopo Mosca,6,70
Mads Wuertz Schmidt,6,60
Nicola Conci,6,55
Ethan Hayter,6,46
Alexander Konychev,6,45
Samuele Battistella,6,38
Davide Gabburo,6,32
Marco Canola,6,30
Ivan Rovny,6,30
Yukiya Arashiro,6,30
Mauro Finetto,6,20
Giovanni Carboni,6,20
Amanuel Ghebreigzabhier,6,18
Nick Schultz,6,15
Robert Stannard,6,15
Fabien Doubey,6,10
Darwin Atapuma,6,10
Maurits Lammertink,6,10
Simone Petilli,6,10
Kevin Van Melsen,6,10
Antonio Di Sante,6,6
Mikkel Bjerg,6,4
Juan Sebastian Molano,6,4
Cristian Camilo Munoz,6,4
Nelson Soto,6,2
Alessandro Covi,4,53
Stan Dewulf,4,40
Luca Chirico,4,34
Florian Vermeersch,4,30
Mulu Hailemichael,4,30
Matthew Holmes,4,22
Raffaele Radice,4,20
Nic Dlamini,4,20
Mattia Bais,4,16
Tsgabu Grmay,4,15
Callum Scotson,4,15
Andres Camilo Ardila,4,4
Edward Ravasi,4,4
