Names,Cost,Points
Mathieu Van Der Poel,32,22
Matteo Trentin,24,112
Jasper Stuyven,24,24
Alexander Kristoff,24,18
Yves Lampaert,22,195
Kasper Asgreen,22,133
John Degenkolb,20,135
Edward Theuns,18,12
Florian Senechal,16,77
Max Walscheid,16,54
Mike Teunissen,16,3
Christophe Laporte,14,72
Hugo Hofstetter,12,51
Tim Merlier,10,150
Jempy Drucker,10,105
Stefan Kueng,10,87
Tom Van Asbroeck,10,39
Timo Roosen,10,33
Dries Devenyns,8,35
Tim Declercq,6,185
Bert Van Lerberghe,6,141
Jonas Rickaert,6,101
Sven Erik Bystrom,6,75
Guillaume Van Keirsbulck,6,45
Lukas Poestelberger,6,36
Taco Van Der Hoorn,6,27
Nikolas Maes,6,21
Oscar Riesebeek,6,13
Gianni Vermeersch,6,7
Alexander Krieger,4,55
Mauri Vansevenant,4,35
Roger Kluge,4,30
Romain Cardis,4,15
Johan Jacobs,4,9
Senne Leysen,4,7
