Names,Cost,Points
Jakob Fuglsang,26,70
Vincenzo Nibali,24,52
Diego Ulissi,18,80
Giovanni Visconti,16,76
Giulio Ciccone,16,49
Ivan Sosa,14,30
Eddie Dunbar,12,70
Gianluca Brambilla,12,43
Kristian Sbaragli,12,40
Mattia Cattaneo,12,10
Valerio Conti,12,4
Aleksandr Vlasov,10,100
Enrico Battaglin,10,20
Joe Dombrowski,10,4
Lorenzo Rota,8,26
Jan Bakelandts,8,22
Jimmy Janssens,8,18
Marco Tizza,8,14
Jay McCarthy,8,8
Alexandr Riabushenko,8,4
Joao Almeida,6,100
Andrea Bagioli,6,70
Matteo Fabbro,6,38
Pieter Serry,6,34
Nicola Conci,6,32
Philipp Walsleben,6,30
Manuel Senni,6,20
Danilo Wyss,6,20
Manuele Boaro,6,15
Mikkel Frohlich Honore,6,10
Andrea Piccolo,6,4
Floris De Tier,6,2
Andrea Garosio,4,66
Edward Ravasi,4,38
Louis Vervaeke,4,28
Oscar Quiroz,4,20
Rodrigo Contreras,4,15
Jonas Gregaard,4,15
Harold Tejada,4,15
Lorenzo Fortunato,4,12
Gino Maeder,4,10
Ian Garrison,4,10
Simone Ravanelli,4,6
Alessandro Covi,4,4
