Names,Cost,Points
Mathieu Van Der Poel,32,105
Greg Van Avermaet,28,12
Oliver Naesen,26,33
Jasper Stuyven,24,90
Matteo Trentin,24,20
Arnaud Demare,22,135
Pascal Ackermann,22,120
Rui Costa,20,6
Giacomo Nizzolo,18,150
Diego Ulissi,18,20
Benoit Cosnefroy,16,79
Ivan Garcia Cortina,16,72
Michael Albasini,16,60
Giovanni Visconti,16,20
Davide Cimolai,14,23
Thomas Boudat,14,15
Lilian Calmejane,14,15
Davide Ballerini,10,102
Alex Aranburu,10,39
Edoardo Affini,10,20
Adam Toupalik,8,68
Alexandr Riabushenko,8,54
Sven Erik Bystrom,6,57
Rui Oliveira,6,51
Sergei Chernetski,6,45
Tom Wirtgen,6,24
Gonzalo Serrano,6,21
Manuele Boaro,6,20
Olivier Le Gac,6,15
Anthony Roux,6,15
Oscar Riesebeek,6,15
Markus Hoelgaard,6,15
Cyril Gautier,6,15
Dusan Rajovic,6,15
Pieter Weening,6,9
Andreas Schillinger,6,7
Michael Schwartzmann,6,7
Ruediger Selig,6,7
Jannik Steimle,6,7
Juraj Sagan,4,48
Josip Rumac,4,30
Matthew Holmes,4,18
Kevin Ledanois,4,15
Juri Hollmann,4,7
Nico Denz,4,7
