Names,Cost,Points
Mathieu Van Der Poel,32,98
Oliver Naesen,26,51
Matteo Trentin,24,165
Wout Van Aert,24,102
Alexander Kristoff,24,36
Jasper Stuyven,24,20
Sam Bennett,24,15
Yves Lampaert,22,121
Kasper Asgreen,22,90
Sep Vanmarcke,22,72
Zdenek Stybar,22,15
John Degenkolb,20,112
Alberto Bettiol,18,135
Edward Theuns,18,20
Mads Pedersen,16,195
Florian Senechal,16,165
Dylan Teuns,16,79
Mike Teunissen,16,69
Cees Bol,16,30
Andrea Pasqualon,14,33
Mark Cavendish,14,15
Anthony Turgis,14,6
Amaury Capiot,12,24
Hugo Hofstetter,12,21
Stefan Kueng,10,135
Luke Rowe,10,87
Jempy Drucker,10,48
Toms Skujins,10,20
Tim Merlier,10,12
Alexis Gougeard,8,30
Reinardt Janse Van Rensburg,8,9
Silvan Dillier,6,27
Kiel Reijnen,6,20
Gianni Vermeersch,6,18
Cyril Lemoine,6,18
Alexander Konychev,6,15
Tim Declercq,6,15
Bert Van Lerberghe,6,15
Jonas Koch,6,7
Michael Schaer,6,7
Gijs Van Hoecke,6,7
Guillaume Van Keirsbulck,6,7
Florian Vermeersch,4,84
Johan Jacobs,4,45
Alex Kirsch,4,20
Ryan Mullen,4,20
Frederik Frison,4,15
Julien Morice,4,15
Kenny Molly,4,15
Leonardo Basso,4,15
Gilles De Wilde,4,15
Nathan Van Hooydonck,4,7
Georg Zimmermann,4,7
