Names,Cost,Points
Mathieu Van Der Poel,32,80
Gianni Moscon,20,26
Ion Izagirre,20,22
Diego Ulissi,18,90
George Bennett,16,100
Giulio Ciccone,16,46
Fabio Aru,16,30
Ben Hermans,14,32
Ivan Sosa,14,2
Valerio Conti,12,38
Gianluca Brambilla,12,30
Kristian Sbaragli,12,4
Aleksandr Vlasov,10,70
Alex Aranburu,10,55
Antwan Tolhoek,10,55
Alessandro De Marchi,10,24
Petr Vakoc,10,4
Dries Devenyns,8,52
Attila Valter,8,43
Lorenzo Rota,8,36
Chris Harper,8,15
Jonas Vingegaard,8,15
Jimmy Janssens,8,4
Simon Geschke,6,60
Joey Rosskopf,6,52
Robert Stannard,6,49
Philipp Walsleben,6,44
Mikkel Frolich Honore,6,40
Simone Petilli,6,38
Pieter Serry,6,34
Simon Pellaud,6,18
Koen Bouwman,6,15
Lennard Hofstede,6,15
Paul Martens,6,15
Daniel Munoz,6,6
Floris De Tier,6,4
Matteo Badilatti,6,4
Matteo Sobrero,4,16
Gino Maeder,4,14
Andres Camilo Ardila,4,10
Alessandro Covi,4,10
Sean Quinn,4,10
Cristian Camilo Munoz,4,10
Edward Ravasi,4,10
Callum Scotson,4,10
Louis Vervaeke,4,4
