Names,Cost,Points
Greg Van Avermaet,28,80
Vincenzo Nibali,24,60
Michal Kwiatkowski,22,70
Gianni Moscon,20,26
Alexey Lutsenko,18,25
Gorka Izagirre,16,120
Giulio Ciccone,16,34
Jan Polanc,12,55
Gianluca Brambilla,12,18
Alex Aranburu,10,105
Alessandro De Marchi,10,50
Jakub Mareczko,10,4
Jhonathan Narvaez,8,43
Dion Smith,8,30
Jan Bakelants,8,28
Lorenzo Rota,8,22
Marco Tizza,8,16
Francesco Gavazzi,8,12
Oscar Riesebeek,6,54
Nicola Bagioli,6,52
Gianni Vermeersch,6,40
Simon Pellaud,6,36
Quinten Hermans,6,30
Manuele Boaro,6,25
Fabio Felline,6,25
Daniil Fominykh,6,25
Floris De Tier,6,8
Jonas Koch,6,4
Pavel Kochetkov,6,4
Michael Schaer,6,4
Fran Ventoso,6,4
Robert Stannard,6,2
Louis Vervaeke,4,49
Filippo Fiorelli,4,38
Alessandro Covi,4,32
Raffaele Radice,4,30
Anton Kuzmin,4,30
Davide Baldaccini,4,30
Davide Martinelli,4,25
Matteo Jorgenson,4,20
Senne Leysen,4,14
Lorenzo Fortunato,4,10
Kevin Colleoni,4,6
