Names,Cost,Points
Mathieu Van Der Poel,32,85
Jakob Fuglsang,26,270
Vincenzo Nibai,24,150
Max Schachmann,24,100
Remco Evenepoel,24,20
Michael Woods,22,8
Richard Carapaz,20,72
Ion Izagirre,20,40
Bauke Mollema,18,180
Diego Ulissi,18,95
Rudy Molard,18,40
Rafal Majka,18,28
George Bennett,16,240
Giulio Ciccone,16,160
Simon Clarke,16,68
Wilco Kelderman,16,48
Ben Hermans,14,90
Jesus Herrada,14,64
Ruben Guerreiro,14,56
Andrea Pasqualon,14,20
Gianluca Brambilla,12,16
Aleksandr Vlasov,10,250
Antwan Tolhoek,10,96
Alessandro De Marchi,10,80
Alex Aranburu,10,40
Petr Vakoc,10,20
James Piccoli,10,20
Lorenzo Rota,8,52
Dani Navarro,8,36
Alexandr Riabushenko,8,20
Chris Harper,8,20
Jonas Vingegaard,8,20
Dario Cataldo,6,60
Simon Geschke,6,44
Manuele Boaro,6,40
Matteo Badilatti,6,32
Joey Rosskopf,6,32
Jacopo Mosca,6,20
Davide Gabburo,6,20
Marco Frapporti,6,20
Koen Bouwman,6,20
Lennard Hofstede,6,20
Paul Martens,6,20
Simone Petilli,6,4
Davide Martinelli,4,40
Harold Tejada,4,40
Jaakko Hanninen,4,24
Florian Stork,4,20
Denis Nekrasov,4,20
Daniel Savini,4,20
Emmanuel Morin,4,20
