Names,Cost,Points
Julian Alaphilipe,32,180
Mathieu Van Der Poel,32,72
Peter Sagan,28,140
Greg Van Avermaet,28,95
Philippe Gilbert,26,90
Oliver Naesen,26,68
Wout Van Aert,24,200
Michael Matthews,24,160
Vincenzo Nibali,24,32
Sam Bennett,24,20
Tadej Pogacar,22,76
Zdenek Stybar,22,68
Michal Kwiatkowski,22,64
Tiesj Benoot,22,54
Arnaud Demare,22,28
Kasper Asgreen,22,20
Bob Jungels,22,20
Giacomo Nizzolo,18,120
Davide Formolo,18,60
Alberto Bettiol,18,52
Matej Mohoric,16,85
Andrea Vendrame,16,80
Gorka Izagirre,16,36
Cees Bol,16,10
Giulio Ciccone,16,4
Anthony Turgis,14,8
Amund Jansen,12,30
Damiano Caruso,12,24
Kristian Sbaragli,12,16
Soren Kragh Andersen,12,10
Alex Aranburu,10,100
Aime De Gendt,10,40
Timo Roosen,10,30
Antwan Tolhoek,10,30
Nikias Arndt,10,10
Dion Smith,8,110
Lorenzo Rota,8,12
Damiano Cima,6,40
Manuele Boaro,6,40
Marco Frapporti,6,40
Paul Martens,6,30
Robert Stannard,6,20
Hector Carretero,6,20
Tim Declercq,6,20
Jasha Suetterlin,6,10
Matteo Jorgenson,4,56
Mattia Bais,4,40
Alessandro Tonelli,4,40
Bert-Jan Lindeman,4,30
Fabio Mazzucco,4,20
