Names,Cost,Points
Julian Alaphilippe,32,220
Alejandro Valverde,28,95
Greg Van Avermaet,28,60
Jakob Fuglsang,26,120
Oliver Naesen,26,20
Wout Van Aert,24,180
Michael Matthews,24,100
Max Schachmann,24,90
Vincenzo Nibali,24,64
Jasper Stuyven,24,20
Michal Kwiatkowski,22,140
Primoz Roglic,22,110
Michael Woods,22,76
Tiesj Benoot,22,24
Michael Valgren,20,80
Richard Carapaz,20,36
Rigoberto Uran,20,28
Rui Costa,20,20
Tim Wellens,20,20
Rudy Molard,18,78
Tom Dumoulin,18,68
Mikel Landa,18,60
Alberto Bettiol,18,52
Pello Bilbao,18,44
Enrico Gasparotto,18,10
Marc Hirschi,16,160
Guillaume Martin,16,102
Valentin Madouas,16,30
Richie Porte,16,24
Michael Albasini,16,10
Jesus Herrada,14,12
Damiano Caruso,12,85
Fausto Masnada,12,32
Nans Peters,12,30
Jan Polanc,12,16
Quentin Pacher,10,30
Eduard-Michael Grosu,10,20
Loic Vliegen,10,20
Toms Skujins,10,8
Simon Geschke,6,56
Julien Bernard,6,30
Kenny Elissonde,6,30
Daniil Fominykh,6,20
Yukiya Arashiro,6,20
Jonas Koch,6,20
Pieter Serry,6,20
Silvan Dillier,6,10
Simon Pellaud,6,10
Michael Schaer,6,10
Torstein Traen,4,20
