Names,Cost,Points
Remco Evenepoel,28,144
Thibaut Pinot,24,80
Elia Viviani,20,43
Andrea Bagioli,16,19
Fasuto Masnada,14,115
Niccolo Bonifazio,14,46
Alessandro Covi,12,110
Jacopo Mosca,12,40
Enrico Battaglin,12,20
Alexandr Riabushenko,12,10
Samuele Battistella,10,90
Ethan Hayter,10,28
Maxi Richeze,10,24
Nick Schultz,10,24
Dries Devenyns,10,19
Mauri Vansevenant,10,19
Jose Joaquin Rojas,8,30
Simone Consonni,8,26
Jhonatan Restrepo,8,8
Juan Sebastian Molano,6,62
Filippo Fiorelli,6,49
Vincenzo Albanese,6,36
Pieter Serry,6,19
Jhojan Garcia,6,18
Mattia Frapporti,6,12
Cristian Camilo Munoz,6,10
Attila Valter,6,6
Orluis Aular,6,2
Andreas Stokbro,4,38
Matthew Walls,4,34
David Gonzalez,4,32
Filippo Tagliani,4,22
Sergio Roman Martin,4,10
Ricardo Tosin,4,4
