Names,Cost,Points
Wout Van Aert,32,100
Greg Van Avermaet,24,38
Tom Pidcock,22,110
Matteo Trentin,22,100
Benoit Cosnefroy,20,49
Richard Carapaz,20,15
Rudy Molard,18,22
Dylan Teuns,16,52
Valentin Madouas,16,34
Christophe Laporte,14,26
Kristian Sbaragli,14,14
Bryan Coquard,14,10
Sven Erik Bystrom,14,4
Remi Cavagna,12,40
Dries De Bondt,12,36
Victor Campenaerts,12,28
Luke Rowe,12,15
Timo Roosen,12,10
Alexandr Riabushenko,12,4
Lorrenzo Rota,12,2
Tom Skujins,10,60
Robert Stannard,10,55
Eddie Dunbar,10,15
Emmanuel Morin,10,10
Paul Martens,10,10
Tosh Van Der Sande,8,18
Maurits Lammertink,8,4
Ide Schelling,6,70
Andreas Leknessund,6,63
Oscar Riesebeek,6,46
Milan Menten,6,32
Marcus Burghardt,6,24
Jordi Meeus,6,20
Aurelien Paret-Peintre,6,20
Brent Van Moer,6,20
Pieter Serry,6,16
Michal Golas,6,15
Stefano Oldani,6,12
Pascal Eenkhoorn,6,10
Kevin Van Melsen,6,10
Nathan Van Hooydonck,6,10
Simon Carr,6,10
Sander Armee,6,8
Markus Hoelgaard,6,6
Ryan Gibbons,6,4
Vegard Stake Laengen,6,4
Marco Marcato,6,4
Sylvain Moniquet,4,30
Julian Mertens,4,20
Ludovic Robeet,4,20
Anders Skaarseth,4,20
Leonardo Basso,4,15
Cameron Wurf,4,15
Finn Fisher-Black,4,10
Gijs Leemreize,4,10
Oliveiro Troia,4,4
