Names,Cost,Points
Julian Alaphilippe,32,89
Simon Yates,22,27
Adam Yates,22,12
Matej Mohoric,20,165
Gianni Moscon,20,68
Egan Bernal,20,45
Diego Ulissi,20,42
Bauke Mollema,18,64
Giulio Ciccone,18,51
Gorka Izagirre,18,33
Zdenek Stybar,18,7
Mikel Landa,16,15
Ben Hermans,16,6
Ruben Guerreiro,14,56
Mikkel Honore,12,150
Lorenzo Rota,12,135
Alessandro Covi,12,90
Sam Oomen,12,21
Jens Keukeleire,12,20
Valerio Conti,12,15
Alexandr Riabushenko,12,15
Lilian Calmejane,12,15
Mattia Cattaneo,12,7
Jai Hindley,10,15
Dries Devenyns,10,7
Odd Christian Eiking,8,76
Ruben Fernandez,8,30
Jose Joaquin Rojas,8,15
James Knox,8,10
Josef Cerny,8,7
Neilson Powless,6,180
Simon Carr,6,98
Jonas Vingegaard,6,72
Mark Padun,6,69
Gonzalo Serrano,6,60
Chris Hamilton,6,24
Will Barta,6,20
Jonathan Caicedo,6,20
Julien El Fares,6,20
Andrey Zeits,6,18
Mikel Bizkarra,6,15
Romain Hardy,6,15
Tsgabu Grmay,6,15
Oscar Cabedo,6,15
Mikael Cherel,6,15
Johan Jacobs,6,15
Santiago Buitrago,6,15
Geoffrey Bouchard,6,9
Maxim Van Gils,4,57
Juan Ayuso,4,39
Javier Romo,4,30
Jon Barrenetxea,4,15
Jokin Murguialday,4,15
Zandres Vervloesem,4,15
Jeremy Cabot,4,15
Kevin Inkelaar,4,15
Domen Novak,4,15
Stephen Williams,4,15
