Names,Cost,Points
Julian Alaphilippe,32,150
Primoz Roglic,26,135
Jakob Fuglsang,26,42
Michal Kwiatkowski,26,24
Mike Woods,24,105
Max Schachmann,24,64
Michael Matthews,24,30
Alejandro Valverde,22,120
Tom Pidcock,22,82
Adam Yates,22,33
Warren Barguil,20,90
Richard Carapaz,20,68
Alex Aranburu,20,54
Benoit Cosnefroy,20,39
Ivan Garcia Cortina,20,7
Bauke Mollema,18,60
Guillaume Martin,18,45
David Gaudu,16,76
Esteban Chaves,16,72
Patrick Konrad,16,48
Enric Mas,16,7
Jack Haig,14,36
Wout Poels,14,27
Kristian Sbaragli,14,18
Jesus Herrada,14,6
Mattia Cattaneo,12,20
Mikkel Honore,12,20
Sam Oomen,12,15
Sergio Henao,12,9
Louis Vervaeke,10,45
Mauri Vansevenant,10,32
Diego Rosa,10,30
Dries Devenyns,10,20
Robert Gesink,10,15
Paul Martens,10,15
Nicola Conci,10,3
Maurits Lammertink,8,60
Josef Cerny,8,20
James Knox,8,20
Ben Tulett,6,57
Quinten Hermans,6,51
Sander Armee,6,45
Alex Howes,6,45
Simone Velasco,6,30
Lennard Hofstede,6,15
Jonas Vingegaard,6,15
Mauro Finetto,6,15
Jorge Arcas,6,7
Matteo Jorgenson,6,7
Gonzalo Serrano,6,7
Carlos Verona,6,7
Sylvain Moniquet,4,45
Julian Mertens,4,30
Marco Brenner,4,21
Christoph Pfingsten,4,15
