Names,Cost,Points
Julian Alaphilippe,32,130
Tadej Pogacar,28,240
Remco Evenepoel,28,68
Primoz Roglic,26,140
Michael Woods,24,90
Marc Hirschi,24,30
Adam Yates,22,160
Alejandro Valverde,22,120
Davide Formolo,22,30
Romain Bardet,20,95
Vincenzo Nibali,20,72
Diego Ulissi,20,62
Gianni Moscon,20,10
Tiesj Benoot,20,8
Nairo Quintana,18,80
Bauke Mollema,18,44
David Gaudu,16,100
Rafal Majka,16,58
Andrea Bagioli,16,20
Tim Wellens,16,20
Tao Geoghegan Hart,16,10
Fausto Masnada,14,200
Sergio Higuita,14,85
Pavel Sivakov,14,66
Domenico Pozzovivo,14,4
Davide Villella,12,36
Lorenzo Rota,12,32
Joao Almeida,12,20
Victor Campenaerts,12,20
Ben Swift,12,10
Mikel Nieve,10,52
Brandon McNulty,10,30
Jan Polanc,10,30
Jan Bakelants,10,20
Dries Devenyns,10,20
Toms Skujins,10,16
Eddie Dunbar,10,10
Attila Valter,6,76
Jonas Vingegaard,6,68
Lorenzo Fortunato,6,64
Nelson Oliveira,6,60
Ben Tulett,6,40
Amanuel Ghebreigzabhier,6,40
Michael Storer,6,24
Chris Hamilton,6,20
Mattia Bais,6,20
Pieter Serry,6,20
Andrea Garosio,6,20
Jonathan Castroviejo,6,10
Davide Orrico,4,20
Thomas Champion,4,20
Domen Novak,4,20
