Names,Cost,Points
Alejandro Valverde,22,49
Vincenzo Nibali,20,53
Matej Mohoric,20,4
Bauke Mollema,18,100
Nairo Quintana,18,80
Giulio Ciccone,18,10
Mikel Landa,16,90
Gianluca Brambilla,16,65
Pello Bilbao,16,4
Alvaro Hodeg,12,15
Mauri Vansevenant,10,110
Eddie Dunbar,10,46
Nick Schultz,10,28
Ethan Hayter,10,18
Dries Devenyns,10,15
Hermann Pernsteiner,10,8
Natnael Tesfatsion,8,38
James Knox,8,37
Ide Schelling,6,60
Matteo Fabbro,6,40
Santiago Buitrago,6,40
Mauro Finetto,6,32
Biniam Ghirmay,6,30
Daniel Savini,6,24
Maciej Bodnar,6,20
Gotzon Martin,6,16
Ian Garrison,6,15
Pieter Serry,6,15
Kevin Colleoni,6,14
Simone Petilli,6,12
Amanuel Ghebreigzabhier,6,10
Edward Ravasi,6,10
Daniel Munoz,6,8
Merhawi Kudus,6,6
Orluis Aular,6,2
Carlos Rodriguez,4,52
Giovanni Aleotti,4,34
Javier Romo,4,26
Antonio Tiberi,4,10
Lorenzo Balestra,4,10
Guido Draghi,4,10
Antonio Nibali,4,10
Eros Capecchi,4,4
Domen Novak,4,4
