Names,Cost,Points
Julian Alaphilippe,32,16
Tadej Pogacar,28,70
Primoz Roglic,26,100
Michael Woods,24,60
Adam Yates,22,90
Alejandro Valverde,22,43
Diego Ulissi,20,52
Aleksandr Vlasov,20,38
Nairo Quintana,18,46
Bauke Mollema,18,20
George Bennett,18,15
David Gaudu,16,55
Ben Hermans,16,40
Rafal Majka,16,14
Tao Geoghegan Hart,16,10
Alexey Lutsenko,16,10
Fausto Masnada,14,53
Pavel Sivakov,14,38
Domenico Pozzovivo,14,26
Sepp Kuss,14,15
Ivan Sosa,14,10
Joao Almeida,12,80
Sam Oomen,12,15
Mauri Vansevenant,10,38
Sebastien Reichenbach,10,18
Eddie Dunbar,10,10
Dries Devenyns,10,4
Matteo Fabbro,6,36
Rein Taaramae,6,34
Michael Storer,6,32
Chris Harper,6,31
Mikel Bizkarra,6,30
Clement Champoussin,6,22
Tobias Foss,6,15
Jonathan Castroviejo,6,10
Oier Lazkano,6,10
Kevin Vermaerke,6,10
Mattia Frapporti,6,10
Daniel Savini,6,6
Jhojan Garcia,6,4
Pieter Serry,6,4
Joan Bou,4,10
Davide Orrico,4,10
Cameron Wurf,4,10
Cristian Scaroni,4,8
Artem Nych,4,2
