Names,Cost,Points
Sep Vanmarcke,20,22
Jelle Vanendert,18,15
Edward Theuns,16,36
Jake Stewart,14,55
Max Walscheid,14,52
Kristoffer Halvorsen,14,49
Jens Debusschere,12,4
Damien Gaudin,10,130
Tom Van Asbroeck,10,60
Marc Sarreau,10,24
Ethan Hayter,10,8
Jhonatan Narvaez,8,46
Josef Cerny,8,10
Chris Lawless,8,10
Szymon Sajnok,8,4
Luca Mozzato,6,80
Jordi Meeus,6,70
Rudy Barbier,6,43
Mikkel Bjerg,6,40
Piet Allegaert,6,38
Pierre Barbier,6,34
Thibault Ferasse,6,34
Aaron Van Poucke,6,30
Eduard-Michael Grosu,6,30
Olivier Le Gac,6,28
Rui Oliveira,6,26
Gijs Van Hoecke,6,18
Arjen Livyns,6,17
Stanislaw Aniolkowski,6,15
Sean De Bie,6,15
Timothy Dupont,6,15
Milan Menten,6,15
Valentin Ferron,6,10
Florian Maitre,6,10
Geoffrey Soupe,6,10
Frederik Backaert,6,4
Julien Morice,6,4
Jonas Van Genechten,6,4
Ludovic Robeet,4,140
Ward Vanhoof,4,42
Wesley Kreder,4,32
Samuele Zoccarato,4,30
Anthony Jullien,4,30
Sebastien Grignard,4,30
Matis Louvel,4,20
Magnus Sheffield,4,16
Lindsay De Vylder,4,14
Jeremy Cabot,4,10
Marlon Gaillard,4,10
Harry Sweeny,4,6
Bert De Backer,4,4
