Names,Cost,Points
Mathieu Van Der Poel,32,49
Julian Alaphilippe,32,15
Oliver Naesen,24,30
Jasper Stuyven,22,100
Yves Lampaert,22,70
Florian Senechal,20,120
Davide Ballerini,20,68
Giacomo Nizzolo,20,46
Zdenek Stybar,18,67
Simon Clarke,16,80
Edward Theuns,16,22
Andrea Bagioli,16,21
Danny Van Poppel,16,16
Mikkel Honore,12,105
Hugo Hofstetter,12,36
Dries De Bondt,12,10
Gianni Vermeersch,12,10
Toms Skujins,10,28
Tom Van Asbroeck,10,24
Dimitri Claeys,10,18
Tosh Van Der Sande,8,110
Simone Consonni,8,34
Thymen Arensman,8,10
Stan Dewulf,6,38
Michael Gogl,6,32
Lawrence Naesen,6,26
Mathijs Paasschens,6,22
Ilan Van Wilder,6,20
Gerben Thijssen,6,20
Romain Combaud,6,10
Jan-Willem van Schip,6,10
Kamil Malecki,6,10
Stefano Oldani,6,10
Carlos Barbero,6,4
Alexander Kamp,6,4
Emils Liepins,6,4
Dries De Pooter,6,2
Matis Louvel,4,40
Giovanni Aleotti,4,32
Martin Urianstad,4,28
Filippo Conca,4,10
Sebastien Grignard,4,10
Jakob Egholm,4,4
Charlie Quarterman,4,4
