Names,Cost,Points
Sam Bennett,24,104
Jasper Philipsen,20,110
Pascal Ackermann,20,65
Giacomo Nizzolo,20,59
Nils Politt,20,44
Tim Merlier,20,15
Florian Senechal,20,14
Danny Van Poppel,16,80
Mark Cavendish,14,90
Max Walscheid,14,48
Cees Bol,14,22
Michael Morkov,12,42
Dries De Bondt,12,29
Jonas Rickaert,10,61
Marc Sarreau,10,46
Bert Van Lerberghe,10,26
Lionel Taminiaux,8,15
Clement Russo,6,70
Luca Mozzato,6,52
Dries Van Gestel,6,43
Norman Vahtra,6,40
Evaldas Siskevicius,6,40
Brent Van Moer,6,34
Jan-Willem Van Schip,6,32
Marcus Burghardt,6,26
Piotr Havik,6,26
Michael Schwarzmann,6,16
Senne Leysen,6,15
Shane Archbold,6,14
Iljo Keisse,6,14
Stan Dewulf,6,10
Ruediger Selig,6,8
Jonas Koch,6,4
Dusan Rajovic,6,2
Luuc Bugter,4,28
Soren Waerenskjold,4,20
Alexander Richardson,4,15
