Names,Cost,Points
Wout Van Aert,32,180
Tadej Pogacar,28,160
Remco Evenepoel,28,20
Michal Kwiatkowski,26,80
Jakob Fuglsang,26,76
Primoz Roglic,26,22
Mike Woods,24,120
Max Schachmann,24,85
Marc Hirschi,24,24
Greg Van Avermaet,24,20
Adam Yates,22,90
Simon Yates,22,56
Richard Carapaz,20,240
Alberto Bettiol,20,68
Dan Martin,20,60
Gianni Moscon,20,44
Tiesj Benoot,20,20
Bauke Mollema,18,140
Gorka Izagirre,18,32
George Bennett,18,20
Guillaume Martin,18,16
Emanuel Buchmann,18,8
David Gaudu,16,100
Rigoberto Uran,16,95
Dylan Van Baarle,16,64
Patrick Konrad,16,52
Rafal Majka,16,48
Alexey Lutsenko,16,40
Joao Almeida,12,72
Damiano Caruso,12,28
Brandon McNulty,10,150
Toms Skujins,10,36
Mauri Vansevenant,10,20
Jan Polanc,10,10
Hermann Pernsteiner,10,4
Jhonathan Narvaez,8,30
Orluis Aular,6,40
Juraj Sagan,6,20
Nic Dlamini,6,20
Jan Tratnik,6,10
