Names,Cost,Points
Greg Van Avermaet,24,2
Warren Barguil,20,90
Tiesj Benoot,20,46
Patrick Konrad,16,52
Ben Hermans,16,36
Tim Wellens,16,24
Christophe Laporte,14,100
Gianni Vermeersch,12,60
Lilian Calmejane,12,32
Aime De Gendt,12,30
Victor Campenaerts,12,16
Amaury Capiot,12,10
Tom Van Asbroeck,10,49
Dimitri Claeys,10,43
Julien Simon,10,34
Simon Geschke,10,15
Louis Vervaeke,10,12
Xandro Meurisse,10,4
Tosh Van Der Sande,8,80
Rasmus Tiller,8,55
Simone Consonni,8,15
Dorian Godon,6,70
Aurelien Paret-Peintre,6,38
Thibault Ferasse,6,28
Milan Menten,6,26
Remy Rochas,6,25
Maxime Urruty,6,18
Victor Lafay,6,15
Matthew Riccitello,6,10
Winner Anacona,6,10
Anthony Delaplace,6,10
Miguel Flores,6,10
Alan Riou,6,10
Larry Warbasse,6,10
Jonas Rutsch,6,8
Matthew Holmes,6,4
Andreas Kron,6,4
Lennert Teugels,4,40
Maxim Van Gils,4,28
Lucas Eriksson,4,22
Matis Louvel,4,20
Thomas Champion,4,15
Eddy Fine,4,15
Gianni Marchand,4,14
Jens Reynders,4,10
Laurenz Rex,4,10
Iver Skaarseth,4,10
Tom Paquot,4,6
Steff Cras,4,4
Sylvain Moniquet,4,4
