Names,Cost,Points
Julian Alaphilippe,32,260
Mathieu Van Der Poel,32,155
Wout Van Aert,32,120
Remco Evenepoel,28,20
Peter Sagan,26,20
Michael Matthews,24,24
Mads Pedersen,24,10
Jasper Stuyven,22,180
Tom Pidcock,22,150
Arnaud Demare,22,30
Florian Senechal,20,160
Giacomo Nizzolo,20,104
Matej Mohoric,20,88
Benoit Cosnefroy,20,78
Nils Politt,20,60
Alexander Kristoff,20,40
Ivan Garcia Cortina,20,32
Diego Ulissi,20,28
Kasper Asgreen,20,10
Zdenek Stybar,18,140
Sonny Colbrelli,18,125
Bauke Mollema,18,28
Dylan Van Baarle,16,220
Michael Valgren,16,200
Valentin Madouas,16,142
Mike Teunissen,16,56
Anthony Turgis,16,30
Danny Van Poppel,16,20
Andrea Bagioli,16,20
Dylan Teuns,16,16
Luka Mezgec,16,4
Christophe Laporte,14,30
Magnus Cort,14,10
Victor Campenaerts,12,44
Remi Cavagna,12,30
Mikkel Honore,12,10
Jan Polanc,10,52
Sebastian Langeveld,8,20
Neilson Powless,6,160
Markus Hoelgaard,6,116
Clement Russo,6,30
Pavel Kochetkov,6,20
Oskar Nisu,6,20
Oscar Riesebeek,6,20
Pascal Eenkhoorn,6,20
Mikkel Bjerg,6,10
Mads Wuertz Schmidt,6,10
Andreas Kron,6,10
Guillaume Boivin,4,56
Patrick Gamper,4,20
Kim Magnusson,4,20
Sebastian Schoenberger,4,12
