Names,Cost,Points
Mathieu Van Der Poel,30,315
Kasper Asgreen,26,246
Tom Pidcock,26,240
Greg Van Avermaet,24,103
Michael Matthews,22,228
Benoit Cosnefroy,20,450
Tiesj Benoot,20,360
Marc Hirschi,20,204
Matej Mohoric,20,162
Jakob Fuglsang,20,135
Matteo Trentin,20,126
Alex Aranburu,20,108
Warren Barguil,20,90
Zdenek Stybar,20,54
Christophe Laporte,20,20
Michal Kwiatkowski,18,540
Michael Valgren,18,144
Dylan Van Baarle,18,141
Tim Wellens,18,99
Tom Dumoulin,18,29
Stefan Kueng,16,216
Dylan Teuns,16,192
Valentin Madouas,16,153
Andrea Pasqualon,16,36
Mike Teunissen,14,20
Soren Kragh Andersen,14,18
Lilian Calmejane,12,85
Stan Dewulf,12,40
Toms Skujins,12,27
Luke Rowe,10,60
Dorian Godon,10,40
Timo Roosen,10,20
Aaron Van Poucke,8,90
Maxim Van Gils,8,72
Nathan Van Hooydonck,8,65
Laurens De Plus,8,60
Ide Schelling,8,45
Alexander Kamp,6,270
Jan Tratnik,6,171
Quentin Pacher,6,117
Johan Jacobs,6,90
Owain Doull,6,90
Emils Liepins,6,45
Mikael Cherel,6,40
Larry Warbasse,6,40
Jos Van Emden,6,20
Magnus Sheffield,4,60
Ben Turner,4,60
Luca Rastelli,4,45
