Names,Cost,Points
Remco Evenepoel,28,255
Tom Pidcock,26,315
Giacomo Nizzolo,24,78
Michael Matthews,22,156
Benoit Cosnefroy,20,360
Warren Barguil,20,300
Oliver Naesen,20,102
Matteo Trentin,20,54
Marc Hirschi,20,30
Tim Wellens,18,228
Michael Valgren,18,120
Michal Kwiatkowski,18,45
Dylan Teuns,16,177
Mauri Vansevenant,14,102
Daryl Impey,12,108
Franck Bonnamour,12,12
Xandro Meurisse,10,129
Dorian Godon,10,126
Juan Ayuso,10,48
Luke Rowe,10,45
Victor Campenaerts,10,30
Robert Stannard,10,30
Laurens De Plus,8,159
Ludovic Robeet,8,30
Michael Schaer,8,30
Aaron Van Poucke,8,30
Hugo Houle,6,90
Tony Gallopin,6,60
Alexis Renard,6,42
Cedric Beullens,6,36
Mikael Cherel,6,30
Lawrence Naesen,6,30
Larry Warbasse,6,30
Tom Devriendt,6,24
Alexandre Delettre,6,18
Winner Anacona,6,15
Benjamin Declercq,6,15
Christophe Noppe,6,15
Lukasz Owsian,6,15
Magnus Sheffield,4,390
Ben Turner,4,345
Jenno Berckmoes,4,84
Vito Braet,4,66
Cameron Wurf,4,45
Ander Okamika,4,30
Markus Pajur,4,15
Kevin Vauquelin,4,15
Jonas Gregaard,4,6
