Names,Cost,Points
Jasper Stuyven,24,204
Sam Bennett,22,126
Tim Merlier,20,450
Dylan Groenewegen,20,405
Arnaud Demare,20,246
Max Walscheid,16,315
Danny Van Poppel,16,81
Mark Cavendish,16,45
Heinrich Haussler,14,192
Luka Mezgec,14,40
Nacer Bouhanni,12,360
Michael Morkov,12,171
Bert Van Lerberghe,12,63
Jonas Rickaert,12,60
Luke Durbridge,12,40
Amaury Capiot,12,20
Olav Kooij,10,270
Simone Consonni,10,228
Arnaud De Lie,10,216
Max Kanter,10,162
Timothy Dupont,10,153
Enrico Battaglin,10,90
Luca Mozzato,10,72
Xandro Meurisse,10,60
Biniam Girmay,8,90
Michael Gogl,8,60
Arne Marit,8,36
Stanislaw Aniolkowski,6,180
Lorrenzo Manzin,6,144
Rick Zabel,6,135
Lluis Mas,6,117
Itamar Einhorn,6,99
Maurice Ballerstedt,6,60
Scott Thwaites,6,60
Rudy Barbier,6,54
Alex Edmonson,6,40
Campbell Stewart,6,40
Mikkel Bjerg,6,27
Benjamin Declercq,6,20
Christophe Noppe,6,20
Gerben Thijssen,6,18
Soren Waerenskjold,4,108
Dimitri Peyskens,4,90
Jens Reynders,4,90
Julien Vermote,4,60
Alexander Konychev,4,40
Kelland O'Brien,4,40
Kevin Ledanois,4,20
Markus Pajur,4,20
Milan Fretin,4,9
