Names,Cost,Points
Wout Van Aert,32,625
Kasper Asgreen,26,237
Jasper Stuyven,24,189
Mads Pedersen,24,63
Florian Senechal,22,45
Christophe Laporte,20,600
Matej Mohoric,20,360
Tiesj Benoot,20,349
Oliver Naesen,20,90
Alex Aranburu,20,9
Dylan Van Baarle,18,261
Anthony Turgis,18,207
Ivan Garcia Cortina,18,135
Michael Valgren,18,99
Stefan Kueng,16,405
Valentin Madouas,16,293
Mike Teunissen,14,316
Heinrich Haussler,14,54
Gianni Vermeersch,14,18
Rasmus Tiller,12,225
Marco Haller,12,126
Dries De Bondt,12,108
Tosh Van Der Sande,12,100
Biniam Girmay,8,315
Jhaonatan Narvaez,8,291
Nathan Van Hooydonck,8,217
Michael Gogl,8,198
Edoardo Affini,8,100
Olivier Le Gac,8,92
Brent Van Moer,8,45
Daniel Oss,8,45
Jelle Wallays,8,45
Kevin Geniets,8,20
Joris Nieuwenhuis,6,81
Alex Edmonson,6,45
Mathijs Paasschens,6,45
Ryan Mullen,6,45
Lukas Poestelberger,6,45
Cedric Beullens,6,27
Lewis Askey,6,20
Fabian Lienhard,6,20
Tobias Ludwgisson,6,20
Lasse Norman Hansen,4,45
Ben Turner,4,36
