Names,Cost,Points
Fabio Jakobsen,24,450
Mads Pedersen,24,192
Sam Bennett,22,270
Arnaud Demare,20,405
Tim Merlier,20,360
Alexander Kristoff,20,216
Elia Viviani,18,228
Danny Van Poppel,16,375
Mikkel Honore,16,72
Luka Mezgec,14,246
Hugo Hofstetter,14,49
Bryan Coquard,14,40
Edward Theuns,14,38
Phil Bauhaus,12,117
Marco Haller,12,108
Bert Van Lerberghe,12,83
Dries De Bondt,12,20
Aime De Gendt,12,20
Alberto Dainese,10,180
Martin Laas,10,171
Nils Eekhoff,10,60
Dorian Godon,10,40
Clement Russo,10,40
Jon Aberasturi,8,204
Simon Pellaud,8,54
Jeremy Lecroq,8,40
Itamar Einhorn,6,162
Emils Liepins,6,153
Stanislaw Aniolkowski,6,144
Rui Oliveira,6,135
Tom Bohli,6,126
Lukas Poestelberger,6,90
Tobias Ludwigsson,6,90
Silvan Dillier,6,90
Jan Maas,6,60
Jos Van Emden,6,60
Daan Hoole,6,60
Boy Van Poppel,6,60
Rudy Barbier,6,40
Dries Van Gestel,6,20
Rune Herregodts,6,20
Sebastian Schoenberger,4,45
Tobias Bayer,4,36
Elmar Reinders,1,60
Thomas Boudat,1,40
