Names,Cost,Points
Caleb Ewan,26,15
Greg Van Avermaet,24,138
Alexander Kristoff,20,330
Bryan Coquard,14,129
Edward Theuns,14,96
Aime De Gendt,12,63
Dimitri Claeys,12,45
Baptiste Planckaert,12,45
Niccolo Bonifazio,12,30
Dan McLay,12,12
Jasper De Buyst,10,255
Victor Campenaerts,10,240
Alberto Dainese,10,180
Arnaud De Lie,10,180
Simone Consonni,10,66
Julien Simon,8,186
Loic Vliegen,8,123
Pieter Serry,8,84
Piet Allegaert,8,72
Gianni Marchand,8,54
Brent Van Moer,8,45
Biniam Girmay,8,45
Sebastien Grignard,8,15
Dries Van Gestel,6,300
Milan Menten,6,147
Jenthe Biermans,6,120
Cyril Barthe,6,114
Benjamin Declercq,6,108
Lennert Teugels,6,102
James Fouche,6,60
Laurent Pichon,6,48
Maciej Bodnar,6,30
Chris Lawless,6,30
Niklas Larsen,6,24
Cedric Beullens,6,24
Ruben Apers,4,90
Tim Naberman,4,60
Timo De Jong,4,60
Tom Sexton,4,60
Corne Van Kessel,4,45
Ceriel Desal,4,42
Julien Vermote,4,36
Sandy Dujardin,4,30
