Names,Cost,Points
Jasper Philipsen,24,180
Giacomo Nizzolo,24,117
Sam Bennett,22,450
Fernando Gaviria,20,405
Alexander Kristoff,20,360
John Degenkolb,18,81
Danny Van Poppel,16,330
Nils Politt,16,60
Edward Theuns,14,291
Andrea Vendrame,14,126
Kristian Sbaragli,14,54
Phil Bauhaus,12,315
Dan McLay,12,135
Marco Haller,12,60
Sven Erik Bystrom,12,20
Aime De Gendt,12,20
Arnaud De Lie,10,228
Simone Consonni,10,216
Piet Allegaert,8,204
Maxi Richeze,8,40
Biniam Girmay,8,20
Lorrenzo Manzin,6,192
Jordi Warlop,6,171
Tony Gallopin,6,162
Marijn Van Den Berg,6,144
Rune Herregodts,6,108
Fabien Doubey,6,99
Pierre Rolland,6,90
Jonas Rutsch,6,81
Sebastian Schoenberger,6,63
Matteo Fabbro,6,60
Jonas Koch,6,60
Jetse Bol,6,45
Daan Hoole,6,45
Alexys Brunel,6,40
Vegard Stake Laengen,6,40
Cyril Gautier,6,27
Tom Devriendt,6,20
Georg Zimmermann,6,20
Laurent Pichon,6,18
Sandy Dujardin,4,153
Jenno Berckmoes,4,72
Ben Zwiehoff,4,60
Johan Meens,4,45
Juan Antonio Lopez-Cozar,4,45
Jens Reynders,4,45
Joel Suter,4,40
Oliveiro Troia,4,40
Barnabas Peak,4,20
Louis Blouwe,4,9
