Names,Cost,Points
Yves Lampaert,24,57
Florian Senechal,22,240
Tim Merlier,20,75
Sep Vanmarcke,18,108
Tim Wellens,18,48
Florian Vermeersch,16,144
Gianni Vermeersch,14,315
Rasmus Tiller,12,129
Michael Morkov,12,15
Oscar Riesebeek,10,360
Arnaud De Lie,10,165
Clement Russo,10,138
Loic Vliegen,8,180
Piet Allegaert,8,147
Guillaume Boivin,8,66
Pieter Serry,8,15
Jeremy Lecroq,8,12
Jelle Wallays,8,6
Stan Van Tricht,6,225
Tom Devriendt,6,156
Fabio Van Den Bossche,6,141
Julian Mertens,6,120
Taco Van Der Hoorn,6,102
Lionel Taminiaux,6,99
Rui Oliveira,6,60
Simon Daniels,6,30
Cyril Lemoine,6,30
Iljo Keisse,6,15
Jens Reynders,4,108
Thijs Aerts,4,102
Quentin Jauregui,4,96
Ward Vanhoof,4,90
Sander Lemmens,4,84
Sander De Pestel,4,78
Kenneth Vanbilsen,4,54
Ward Hubys,4,30
Thomas Joseph,4,30
Kobe Vanoverschelde,4,30
