Names,Cost,Points
Tadej Pogacar,32,360
Wout Van Aert,32,285
Mathieu Van Der Poel,30,480
Primoz Roglic,30,168
Mads Pedersen,24,330
Giacomo Nizzolo,24,156
Peter Sagan,24,60
Jasper Philipsen,24,30
Michael Matthews,22,420
Florian Senechal,22,204
Matej Mohoric,20,600
Arnaud Demare,20,255
Alex Aranburu,20,216
Christophe Laporte,20,108
Alexander Kristoff,20,60
Anthony Turgis,18,540
Michal Kwiatkowski,18,180
Ivan Garcia Cortina,18,96
Diego Ulissi,18,84
Michael Valgren,18,72
Soren Koragh Andersen,14,300
Damiano Caruso,14,282
Lorenzo Rota,14,144
Edvald Boasson Hagen,14,60
Kristian Sbaragli,14,30
Andrea Vendrame,14,12
Phil Bauhaus,12,90
Niccolo Bonifazio,12,60
Nacer Bouhanni,12,48
Simone Consonni,10,36
Biniam Girmay,8,228
Krists Neilands,8,120
Daniel Oss,8,60
Julien Simon,8,60
Michael Gogl,8,30
Jan Tratnik,6,360
Alessandro Tonelli,6,240
Vincenzo Albanese,6,240
Quentin Pacher,6,132
Yevgeniy Gidich,6,120
Yukiya Arashiro,6,90
Jasha Suetterlin,6,90
Maciej Bodnar,6,60
Silvan Dillier,6,30
Stefano Oldani,6,30
Filippo Fiorelli,6,24
Samuele Rivi,4,240
Diego Pablo Sevilla,4,120
Filippo Conca,4,120
Filippo Tagliani,4,120
Artyom Zakharov,4,120
Ricardo Alejandro Zurita,4,120
Jonathan Milan,4,90
