Names,Cost,Points
Alexander Kristoff,20,270
Florian Vermeersch,16,138
Jake Stewart,14,240
Amaury Capiot,12,210
Niccolo Bonifazio,12,141
Dimitri Claeys,12,30
Baptiste Planckaert,12,30
Luca Mozzato,10,180
Andreas Kron,10,120
Julien Simon,8,300
Clement Venturini,8,156
Jonathan Lastra,8,129
Chris Lawless,6,159
Finn Fisher-Black,6,108
Harry Sweeny,6,90
Ivo Oliveira,6,90
Alexis Renard,6,84
Fernando Barcelo,6,66
Lorrenzo Manzin,6,45
Juraj Sagan,6,45
Geoffrey Soupe,6,45
Adrien Petit,6,30
Kevin Van Melsen,6,30
Idar Andersen,6,24
Anthony Roux,6,15
Bram Welten,6,15
Damien Touze,6,12
Cyril Gautier,6,6
Eddy Fine,4,165
Sandy Dujardin,4,105
Francisco Galvan,4,102
Carlos Canal,4,90
Pau Miquel,4,78
Theo Delacroix,4,72
Unai Iribar,4,48
Hugo Toumire,4,42
Alex Jaime,4,30
Peio Goikoetxea,4,30
Hugo Page,4,30
Corne Van Kessel,4,30
Matthieu Ladagnous,4,15
