Names,Cost,Points
Wout Van Aert,32,540
Mathieu Van Der Poel,30,270
Yves Lampaert,24,315
Jasper Stuyven,24,300
Greg Van Avermaet,24,168
Florian Senechal,22,216
Matej Mohoric,20,480
Alexander Kristoff,20,228
Filippo Ganna,20,90
Christophe Laporte,20,60
Dylan Van Baarle,18,720
John Degenkolb,18,156
Michal Kwiatkowski,18,90
Ivan Garcia Cortina,18,72
Stefan Kueng,16,480
Andrea Pasqualon,16,144
Nils Politt,16,108
Valentin Madouas,16,30
Philippe Gilbert,16,12
Jordi Meeus,14,204
Mike Teunissen,14,192
Baptiste Planckaert,12,96
Luke Rowe,10,90
Timo Roosen,10,60
Olivier Le Gac,8,66
Nathan Van Hooydonck,8,60
Edoardo Affini,8,60
Anders Skaarseth,8,48
Tom Devriendt,6,540
Laurent Pichon,6,345
Adrien Petit,6,330
Matis Louvel,6,192
Taco Van Der Hoorn,6,180
Stefan Bissegger,6,120
Dries Van Gestel,6,84
Mick Van Dijke,6,60
Guillaume Van Keirsbulck,6,60
Lewis Askey,6,30
Fabian Lienhard,6,30
Bram Welten,6,30
Mathias Norsgaard,6,24
Ben Turner,4,330
Magnus Sheffield,4,90
Cameron Wurf,4,90
Clement Davy,4,30
