Names,Cost,Points
Tadej Pogacar,32,600
Mathieu Van Der Poel,30,780
Tom Pidcock,26,324
Kasper Asgreen,26,96
Mads Pedersen,24,345
Greg Van Avermaet,24,192
Jasper Philipsen,24,90
Yves Lampaert,24,12
Michael Matthews,22,300
Christophe Laporte,20,330
Alexander Kristoff,20,255
Tiesj Benoot,20,216
Alex Aranburu,20,132
Matej Mohoric,20,120
Dylan Van Baarle,18,660
Ivan Garcia Cortina,18,168
John Degenkolb,18,156
Valentin Madoaus,16,540
Stefan Kueng,16,450
Dylan Teuns,16,330
Danny Van Poppel,16,180
Mike Teunissen,14,144
Gianni Vermeersch,14,90
Niki Terpstra,14,24
Amaury Capiot,12,84
Stan Dewulf,12,60
Aime De Gendt,12,48
Fred Wright,10,420
Luca Mozzato,10,132
Xandro Meurisse,10,90
Max Kanter,10,60
Ben Swift,10,60
Michael Gogl,8,90
Sebastien Grignard,8,60
Jhonatan Narvaez,8,60
Manuele Boaro,8,60
Anders Skaarseth,8,36
Kevin Geniets,8,30
Olivier Le Gac,8,30
Jan Tratnik,6,288
Matis Louvel,6,168
Silvan Dillier,6,90
Jasha Suetterlin,6,60
Mathijs Paasschens,6,60
Kim Heiduk,6,60
Tom Bohli,6,60
Taco Van Der Hoorn,6,60
Lewis Askey,6,30
Fabian Lienhard,6,30
Tobias Ludvigsson,6,30
Ben Turner,4,120
Julien Vermote,4,90
Lindsay De Vylder,4,60
Magnus Sheffield,4,60
