Names,Cost,Points
Tadej Pogacar,32,540
Julian Alaphilippe,30,20
Kasper Asgreen,26,360
Alejandro Valverde,22,405
Warren Barguil,20,36
Benoit Cosnefroy,20,18
Richard Carapaz,20,9
Tim Wellens,18,216
Michael Valgren,18,180
Diego Ulissi,18,132
Pello Bilbao,16,270
Alessandro Covi,16,87
Mikkel Honore,16,20
Sergio Higuita,14,192
Lorenzo Rota,14,162
Andrea Vendrame,14,126
Marc Soler,14,60
Simon Clarke,14,45
Ruben Guerreiro,12,144
Toms Skujins,12,135
Lilian Calmejane,12,45
Quinn Simmons,10,228
Sebastien Reichenbach,10,153
Jai Hindley,10,117
Xandro Meurisse,10,81
Andreas Kron,10,63
Gonzalo Serrano,10,40
Dries Devenyns,10,20
Jhonatan Narvaez,8,246
Filippo Zana,8,108
Maxi Richeze,8,60
Nelson Oliveira,8,40
Pieter Serry,8,20
Louis Vervaeke,8,20
Attila Valter,6,315
Simone Petilli,6,204
Floris De Tier,6,171
Carlos Rodriguez,6,99
Simone Velasco,6,90
Mikkel Bjerg,6,60
Vegard Stake Laengen,6,60
Vincenzo Albanese,6,54
Davide Martinelli,6,45
Taco Van Der Hoorn,6,45
Edoardo Zardini,6,45
Jorge Arcas,6,40
Lluis Mas,6,40
Mathias Norsgaard,6,40
Einer Rubio,6,40
Mauro Schmid,6,20
Simone Bevilacqua,4,45
Sergio Garcia,4,45
Marco Brenner,4,45
Leon Heinschke,4,45
Samuele Zoccarato,4,45
