Names,Cost,Points
Florian Vermeersch,16,138
Max Walscheid,16,48
Hugo Hofstetter,14,345
Niki Terpstra,14,18
Connor Swift,12,345
Stan Dewulf,12,138
Amaury Capiot,12,114
Baptiste Planckaert,12,96
Dimitri Claeys,12,90
Luca Mozzato,10,330
Arnaud De Lie,10,210
Clement Russo,10,120
Andreas Kron,10,114
Marc Sarreau,10,30
Piet Allegaert,8,84
Clement Venturini,8,66
Jeremy Lecroq,8,30
Laurent Pichon,6,276
Matis Louvel,6,225
Cedric Beullens,6,120
Christophe Noppe,6,60
Milan Menten,6,42
Cyril Barthe,6,30
Cyril Lemoine,6,30
Kenny Molly,6,6
Matthieu Ladagnous,4,129
Eddy Fine,4,78
Martin Urianstad,4,60
Erik Nordsaeter Resell,4,30
Quentin Jauregui,4,30
Axel Laurance,4,30
Julien Morice,4,30
