Names,Cost,Points
Michael Matthews,24,83
Greg Van Avermaet,24,39
Philippe Gilbert,22,15
Jasper Philipsen,20,150
John Degenkolb,20,135
Alexander Kristoff,20,120
Pascal Ackermann,20,90
Ivan Garcia Cortina,20,82
Andrea Pasqualon,18,105
Mike Teunissen,16,87
Gianluca Brambilla,16,39
Ben Hermans,16,27
Tim Wellens,16,15
Dylan Teuns,16,15
Christophe Laporte,14,76
Sven Erik Bystrom,14,7
Lorenzo Rota,12,51
Luke Durbridge,12,30
Sam Oomen,12,15
Louis Vervaeke,10,35
Simon Geschke,10,15
Maxi Richeze,10,7
Michael Schaer,10,3
Alexander Krieger,8,20
Fred Wright,6,64
Damien Touze,6,57
Cedric Beullens,6,57
Connor Swift,6,54
Aaron Van Poucke,6,51
Georg Zimmermann,6,45
Simone Velasco,6,39
Omer Goldstein,6,33
Quentin Pacher,6,30
Niklas Eg,6,27
Maxime Bouet,6,21
Silvan Dillier,6,20
Scott Thwaites,6,20
Matteo Fabbro,6,15
Lucas Hamilton,6,15
Matthew Holmes,6,15
Andreas Kron,6,15
Lluis Mas,6,15
Vegard Stake Laengen,6,7
Juan Sebastian Molano,6,7
Cristian Camilo Munoz,6,7
Rui Oliviera,6,7
Nico Denz,6,6
Anders Skaarseth,4,60
Maxime Chevalier,4,48
Cristian Scaroni,4,45
Cyril Gautier,4,45
Tobias Bayer,4,20
Alexander Richardson,4,20
Clement Berthet,4,18
Erik Nordsaeter Resell,4,15
Maxim Van Gils,4,15
Xandres Vervloesem,4,15
Mathias Norsgaard,4,15
