Names,Cost,Points
Wout Van Aert,32,195
Michael Matthews,24,135
Greg Van Avermaet,24,57
Oliver Naesen,24,45
Sam Bennett,24,30
Matteo Trentin,22,165
Yves Lampaert,22,51
Giacomo Nizzolo,20,180
Ivan Garcia Cortina,20,39
Alexander Kristoff,20,16
John Degenkolb,20,12
Sonny Colbrelli,18,150
Stefan Kueng,18,127
Zdenek Stybar,18,18
Dylan Van Baarle,16,72
Anthony Turgis,16,68
Danny Van Poppel,16,54
Sven Erik Bystrom,14,61
Max Walscheid,14,30
Gianni Vermeersch,12,64
Timo Roosen,12,20
Heinrich Haussler,12,6
Aime De Gendt,12,3
Bert Van Lerberghe,10,33
Dimitri Claeys,10,15
Max Richeze,10,7
Jack Bauer,8,48
Imanol Erviti,8,21
Edoardo Affini,8,20
Jos Van Emden,8,20
Nathan Van Hooydonck,6,141
Jeremy Lecroq,6,60
Owain Doull,6,42
Dries Van Gestel,6,36
Michal Golas,6,30
Cyril Lemoine,6,27
Pascal Eenkhoorn,6,20
Maarten Wynants,6,20
Michael Gogl,6,15
Lukasz Wisniowski,6,15
Ryan Gibbons,6,7
Ivo Oliveira,6,7
Andreas Stokbro,4,15
Emil Vinjebo,4,15
