Names,Cost,Points
Matteo Trentin,22,70
Giacomo Nizzolo,20,90
Alex Aranburu,20,34
Sonny Colbrelli,18,24
Emanuel Buchmann,18,15
Patrick Konrad,16,15
Marc Soler,14,20
Sepp Kuss,14,4
Jakub Mareczko,12,55
Amaury Capiot,12,46
Ben Swift,12,20
Felix Grossschartner,12,15
Victor Campenaerts,12,10
Riccardo Minali,10,52
Ethan Hayter,10,40
Maxi Richeze,10,32
Manuele Boaro,10,20
Matteo Pelucchi,10,10
Simone Consonni,8,38
Jose Joaquin Rojas,8,30
Edoardo Affini,8,12
Olav Kooij,6,80
Biniam Ghirmay,6,60
Arvid De Kleijn,6,49
Stefano Oldani,6,43
Matteo Moschetti,6,36
Davide Gabburo,6,28
Gonzalo Serrano,6,26
Cesare Benedetti,6,15
Omer Goldstein,6,14
Koen Bouwman,6,4
Tobias Foss,6,4
Matthew Halls,4,100
Colin Joyce,4,22
Sylvain Moniquet,4,20
Mattias Skjelmose,4,20
Filippo Tagliani,4,18
Giovanni Aleotti,4,15
Ben Zwiehoff,4,15
Filippo Baroncini,4,10
Andreas Stokbro,4,10
Emil Vinjebo,4,10
Enrico Zanoncello,4,6
Gijs Leemreize,4,4
Maxim Van Gils,4,2
