Names,Cost,Points
Wout Van Aert,32,160
Mathieu Van Der Poel,32,120
Julian Alaphilippe,32,60
Peter Sagan,26,140
Michal Kwiatkowski,26,56
Caleb Ewan,24,180
Michael Matthews,24,110
Greg Van Avermaet,24,72
Max Schachmann,24,68
Oliver Naesen,24,40
Jasper Stuyven,22,200
Matteo Trentin,22,76
Tom Pidcock,22,64
Arnaud Demare,22,20
Philippe Gilbert,22,20
Alex Aranburu,20,100
Matej Mohoric,20,80
Giacomo Nizzolo,20,52
Pascal Ackermann,20,44
Vincenzo Nibali,20,30
John Degenkolb,20,20
Romain Bardet,20,16
Ivan Garcia Cortina,20,4
Sonny Colbrelli,18,95
Andrea Vendrame,18,32
Soren Kragh Andersen,16,90
Anthony Turgis,16,85
Tim Wellens,16,20
Nacer Bouhanni,14,48
Christophe Laporte,14,36
Jasper De Buyst,14,20
Jacopo Mosca,12,30
Gianni Vermeersch,12,28
Sam Oomen,12,10
Timo Roosen,12,10
Nicola Conci,10,70
Toms Skujins,10,30
Robert Stannard,10,12
Paul Martens,10,10
Julien Simon,10,8
Edoardo Affini,8,10
Jos Van Emden,8,10
Alessandro Tonelli,6,40
Taco Van Der Hoorn,6,40
Charles Planet,6,40
Ryan Mullen,6,30
Quinn Simmons,6,30
Gonzalo Serrano,6,24
Andrea Peron,6,20
Frederik Frison,6,20
Roger Kluge,6,20
Filippo Tagliani,4,40
Mathias Norsgaard,4,40
Mattia Viel,4,20
Christoph Pfingsten,4,10
