Names,Cost,Points
Arnaud Demare,22,150
Jasper Stuyven,22,120
Dylan Groenewegen,22,18
Jasper Philipsen,20,57
Andrea Pasqualon,18,72
Stefan Kueng,18,20
Danny Van Poppel,16,90
Valentin Madouas,16,47
Anthony Turgis,16,45
Bob Jungels,16,30
Edward Theuns,16,19
Bryan Coquard,14,97
Jake Stewart,14,20
Amaury Capiot,12,64
Dries De Bondt,12,21
Hugo Hofstetter,12,15
Jos Van Emden,8,33
Ramon Sinkeldam,8,20
Franck Bonnamour,6,165
Stan Dewulf,6,135
Gijs Van Hoecke,6,60
Piet Allegaert,6,48
Fabian Lienhard,6,29
Olivier Le Gac,6,20
Julien Duval,6,15
Frederik Frison,6,15
Cyril Barthe,6,15
Jonathan Hivert,6,15
Cyril Lemoine,6,15
Luca Mozzato,6,15
Alexander Kamp,6,7
Alex Kirsch,6,7
Kiel Reijnen,6,7
Alan Riou,6,6
Jeremy Leveau,6,3
Arne Marit,4,76
Julien Trarieux,4,68
Samuel Leroux,4,54
Valentin Tabellion,4,51
Urko Berrade,4,42
Matis Louvel,4,39
Roger Adria,4,36
Patrick Gamper,4,24
Rune Herregodts,4,15
Gijs Leemreize,4,15
Jakob Egholm,4,7
