Names,Cost,Points
Julian Alaphilippe,32,172
Jasper Stuyven,22,76
Benoit Cosnefroy,20,180
Davide Ballerini,20,79
Giacomo Nizzolo,20,64
Warren Barguil,20,33
Andrea Vendrame,18,23
Valentin Madouas,16,72
Ben Hermans,16,36
Michael Valgren,16,27
Mikkel Honore,12,165
Hugo Hofstetter,12,60
Mattia Cattaneo,12,34
Alessandro De Marchi,12,30
Ethan Hayter,10,105
Julien Simon,10,48
Jai Hindley,10,15
Tim Declercq,8,22
Tony Gallopin,8,20
Tanel Kangert,8,18
Connor Swift,6,90
Franck Bonnamour,6,82
Aurelien Paret-Peintre,6,71
Quentin Pacher,6,68
Dorian Godon,6,65
Laurent Pichon,6,42
Gonzalo Serrano,6,39
Alexis Gougeard,6,35
Quinten Hermans,6,30
Ian Garrison,6,22
Pieter Serry,6,22
Mathieu Burgaudeau,6,21
Larry Warbasse,6,20
Thibault Ferasse,6,9
Carlos Barbero,6,6
Giovanni Aleotti,4,54
Maxime Chevalier,4,30
Stephen Williams,4,24
Sebastien Grignard,4,15
