Names,Cost,Points
Mathieu Van Der Poel,32,220
Wout Van Aert,32,130
Julian Alaphilippe,32,30
Peter Sagan,26,64
Greg Van Avermaet,24,160
Michael Matthews,24,40
Oliver Naesen,24,10
Jasper Stuyven,22,140
Yves Lampaert,22,86
Kasper Asgreen,20,240
Florian Senechal,20,120
Sep Vanmarcke,20,120
Tiesj Benoot,20,76
Alexander Kristoff,20,52
Nils Politt,20,36
Ivan Garcia Cortina,20,32
Davide Ballerini,20,30
Alberto Bettiol,20,12
John Degenkolb,20,4
Anthony Turgis,16,95
Dylan Van Baarle,16,85
Danny Van Poppel,16,60
Tim Wellens,16,24
Christophe Laporte,14,80
Max Walscheid,14,16
Gianni Vermeersch,12,120
Heinrich Haussler,12,44
Hugo Hofstetter,12,28
Dries De Bondt,12,20
Dimitri Claeys,10,72
Tom Van Asbroeck,10,48
Bert Van Lerberghe,10,30
Jonas Rickaert,10,20
Michael Schaer,10,10
Tim Declercq,8,30
Marcus Burghardt,6,68
Stefan Bissegger,6,40
Fabio Van De Bossche,6,20
Mathijs Paasschens,6,20
Nico Denz,6,20
Silvan Dillier,6,20
Oscar Riesebeek,6,20
Otto Vergaerde,6,20
Jelle Wallays,6,20
Jenthe Biermans,6,20
Hugo Houle,6,20
Stan Dewulf,6,10
Lawrence Naesen,6,10
Damien Touze,6,10
Gijs Van Hoecke,6,10
Clement Russo,6,8
Mathias Norsgaard,4,20
