Names,Cost,Points
Mathieu Van Der Poel,32,195
Julian Alaphilippe,32,180
Wout Van Aert,32,120
Tadej Pogacar,28,106
Jakob Fuglsang,26,68
Michal Kwiatkowski,26,7
Greg Van Avermaet,24,51
Tom Pidcock,22,112
Davide Formolo,22,21
Egan Bernal,20,165
Romain Bardet,20,33
Kasper Asgreen,20,33
Alex Aranburu,20,27
Alberto Bettiol,20,24
Davide Ballerini,20,15
Ivan Garcia Cortina,20,6
Bauke Mollema,18,39
Andrea Vendrame,18,15
Zdenek Stybar,18,15
Simon Clarke,16,72
Pello Bilbao,16,64
Tim Wellens,16,54
Valentin Madouas,16,30
Pavel Sivakov,14,7
Gianni Vermeersch,12,71
Joao Almeida,12,15
Petr Vakoc,10,68
Xandro Meurisse,10,20
Jonas Rickaert,10,20
Dries Devenyns,10,15
Robert Stannard,10,3
Clement Venturini,8,42
Tosh Van Der Sande,8,15
Michael Gogl,6,112
Kevin Geniets,6,60
Simon Carr,6,60
Robert Power,6,57
Philipp Walsleben,6,35
Otto Vergaerde,6,20
Owain Doull,6,19
Geoffrey Bouchard,6,15
Simone Petilli,6,15
Pieter Serry,6,15
Quinn Simmons,6,15
Andreas Kron,6,9
Salvatore Puccio,6,7
Samuele Zoccarato,4,15
Kevin Ledanois,4,15
Simone Bevilacqua,4,15
Leonardo Basso,4,7
