Names,Cost,Points
Tadej Pogacar,28,110
Marc Hirschi,24,50
Davide Formolo,22,134
Benoit Cosnefroy,20,70
Vincenzo Nibali,20,28
Diego Ulissi,20,14
Guillaume Martin,18,38
David Gaudu,16,49
Alexey Lutsenko,16,34
Pierre Latour,16,26
Rigoberto Uran,16,20
Rafal Majka,16,14
Tim Wellens,16,10
Sergio Higuita,14,55
Ruben Guerreiro,14,6
Alessandro De Marchi,12,120
Lorenzo Rota,12,92
Alessandro Covi,12,60
Davide Villella,12,16
Valerio Conti,12,14
Felix Grossschartner,12,8
Ben Swift,12,2
Jhonathan Restrepo,8,30
Andreas Kron,6,80
Nelson Oliveira,6,80
Aurelien Paret-Peintre,6,63
Simone Ravanelli,6,24
Mattia Bais,6,22
Lorenzo Fortunato,6,20
Vincenzo Albanese,6,18
Omer Goldstein,6,15
Reto Hollenstein,6,15
James Piccoli,6,15
Maxime Bouet,6,14
Sean Bennett,6,12
Kevin Colleoni,6,10
Matthew Holmes,6,10
Edoardo Zardini,6,4
Clement Berthet,4,32
Erik Fetter,4,10
