Names,Cost,Points
Oliver Naesen,24,52
Philippe Gilbert,22,40
John Degenkolb,20,55
Warren Barguil,20,15
Baptiste Planckaert,14,90
Christophe Laporte,14,56
Amaury Capiot,12,15
Jempy Drucker,12,10
Florian Vermeersch,10,10
Rasmus Tiller,8,60
Connor Swift,6,120
Piet Allegaert,6,110
Olivier Le Gac,6,90
Bram Welten,6,64
Clement Russo,6,49
Kevin Geniets,6,43
Benjamin Thomas,6,36
Laurent Pichon,6,35
Valentin Ferron,6,30
Edward Planckaert,6,28
Julien El Fares,6,24
Alexys Brunel,6,20
Damien Touze,6,20
Kevin Van Melsen,6,20
Eduard-Michael Grosu,6,20
Jelle Wallays,6,14
Tom Bohli,6,10
Frederik Backaert,6,8
Jonathan Hivert,6,2
Lucas Eriksson,4,26
Luuc Bugter,4,20
Pier-Andre Cote,4,20
Jeremy Cabot,4,12
Mikel Aristi,4,10
Tom Paquot,4,10
Syver Waersted,4,10
Andre Carvalho,4,10
Kenneth Vanbilsen,4,10
Maxime Cam,4,10
Jasper De Plus,4,4
Ludwig De Winter,4,4
Theo Delacroix,4,4
