Names,Cost,Points
Marianne Vos,30,200
Annemiek Van Vleuten,30,160
Elisa Longo Borghini,30,95
Anna Van Der Breggen,30,20
Cecilie Uttrup Ludwig,24,100
Grace Brown,24,85
Katarzyna Niewiadoma,22,80
Chantal Van Den Broeck-Blaak,22,20
Mavi Garcia,18,110
Demi Vollering,16,180
Soraya Paladin,14,120
Marlen Reusser,14,4
Ashleigh Moolman,12,110
Maria Novolodskaia,12,72
Floortje Mackaij,12,8
Amanda Spratt,10,140
Katrine Aalerud,10,90
Kristen Faulkner,10,64
Juliette Labous,10,60
Lucinda Brand,10,32
Jelena Eric,10,10
Niamh Fisher-Black,8,96
Erica Magnaldi,8,68
Ruth Winder,8,44
Anouska Koster,8,42
Pauliena Rooijakkers,8,36
Riejanne Markus,8,30
Tiffany Cromwell,8,28
Marta Lach,8,16
Paula Patino,8,10
Lucy Kennedy,6,52
Leah Thomas,6,50
Karlijn Swinkels,6,30
Teuntje Beekhuis,6,30
Julia Van Bokhoven,6,24
Coryn Rivera,6,20
Sara Martin,6,10
Anna Shackley,4,76
Julie Van De Velde,4,30
