Names,Cost,Points
Elisa Longo Borghini,30,240
Elizabeth Deignan,24,130
Mavi Garcia,18,40
Liane Lippert,16,36
Soraya Paladin,14,24
Marta Cavalli,14,20
Ashleigh Moolman-Pasio,12,90
Audrey Cordon-Ragot,12,30
Floortje Mackaij,12,28
Gladys Verhulst,10,180
Kristen Faulkner,10,160
Sofia Bertizzolo,10,140
Evita Muzic,10,120
Eugenia Bujak,10,110
Elise Chabbey,10,72
Ursa Pintar,10,56
Juliette Labous,10,36
Anna Henderson,8,85
Erica Magnaldi,8,84
Niamh Fisher-Black,8,76
Tatiana Guderzo,8,72
Alena Amialiusik,8,40
Ilaria Sanguineti,8,32
Ruth Winder,8,30
Spela Kern,8,8
Pauliena Rooijakkers,8,4
Coryn Rivera,6,95
Silvia Persico,6,80
Tayler Wiles,6,30
Charlotte Becker,6,20
Lucie Jounier,6,20
Tanja Erath,6,10
Nina Kessler,6,10
Anna Shackley,4,44
Jade Wiel,4,20
Typhaine Laurance,4,20
Maria Morgane Le Dunff,4,20
Greta Richioud,4,20
Marie Le Net,4,12
Leah Dixon,4,10
Diana Penuela,4,10
