Names,Cost,Points
Lisa Brennauer,24,12
Emma Norsgaard,20,180
Elisa Balsamo,20,160
Lorena Wiebes,16,200
Sarah Roy,14,100
Maria Novoldskaia,12,56
Lisa Klein,10,120
Maria Giulia Confalonieri,10,76
Chiara Consonni,10,10
Emilie Moberg,8,140
Arlenis Sierra,8,110
Arianna Fidanza,8,64
Marta Lach,8,40
Susanne Andersen,8,30
Kathrin Schweinberger,8,28
Barbara Guarischi,8,20
Ilaria Sanguineti,8,10
Amalie Dideriksen,6,90
Femke Markus,6,80
Silvia Zanardi,6,72
Celine Van Houtum,6,52
Pfeiffer Georgi,6,30
Esmee Peperkamp,6,30
Letizia Borghesi,6,20
Alicia Gonzalez,6,20
Sara Martin,6,20
Vittoria Guazzini,6,10
Silvia Persico,6,10
Natalie Van Gogh,6,8
Maike Van Der Duin,4,68
Amalie Lutro,4,60
Minke Bakker,4,48
April Tacey,4,36
Wilma Olausson,4,30
Julia Soek,4,30
Claudia Jongerius,4,20
Gloria Rodriguez,4,20
Alba Teruel,4,20
Silvia Pollicini,4,10
Michaela Drummond,4,4
