Names,Cost,Points
Annemiek Van Vleuten,30,180
Elisa Longo Borghini,30,160
Marianne Vos,30,140
Anna Van Der Breggen,30,84
Lotte Kopecky,26,140
Lisa Brennauer,24,110
Cecilie Uttrup Ludwig,24,85
Elizabeth Deignan,24,80
Katarzyna Niewiadoma,22,68
Mavi Garcia,18,76
Demi Vollering,16,44
Liane Lippert,16,32
Marta Cavalli,14,105
Christine Majerus,14,44
Soraya Paladin,14,10
Marta Bastianelli,14,10
Ashleigh Moolman-Pasio,12,72
Eugenia Bujak,10,48
Ane Santesteban,10,12
Juliette Labous,10,4
Alena Amialiusik,8,56
Marta Lach,8,52
Anna Plichta,8,36
Paula Patino,8,36
Tiffany Cromwell,8,20
Coryn Rivera,6,100
Karol-Ann Canuel,6,60
Omer Shapira,6,48
Eri Yonamine,6,40
Leah Thomas,6,8
